boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
0,5,5,5.250340e-03,9.948839e-03,1.238700e-02,0.000000e+00,0.000000e+00
1,3,8,4.770271e-03,9.188415e-03,1.025695e-02,0.000000e+00,0.000000e+00
2,5,13,5.972851e-04,7.543381e-03,1.233243e-02,0.000000e+00,0.000000e+00
3,9,22,3.921334e-04,6.780808e-03,1.189396e-02,0.000000e+00,0.000000e+00
4,6,28,1.179758e-03,6.799106e-03,1.173524e-02,0.000000e+00,0.000000e+00
5,8,36,1.436612e-04,6.046005e-03,1.177219e-02,0.000000e+00,0.000000e+00
6,9,45,1.514936e-04,6.408255e-03,1.053639e-02,0.000000e+00,0.000000e+00
7,8,53,6.579794e-06,6.214636e-03,1.287487e-02,0.000000e+00,0.000000e+00
8,9,62,6.448384e-04,5.076697e-03,9.697462e-03,0.000000e+00,0.000000e+00
9,7,69,2.646260e-04,5.430324e-03,1.058661e-02,0.000000e+00,0.000000e+00
10,8,77,1.478707e-04,4.943091e-03,1.000000e-02,0.000000e+00,0.000000e+00
11,9,86,1.006201e-04,5.038618e-03,9.386137e-03,0.000000e+00,0.000000e+00
12,9,95,6.135553e-05,5.484743e-03,1.172357e-02,0.000000e+00,0.000000e+00
13,11,106,3.957190e-05,5.160755e-03,1.140309e-02,0.000000e+00,0.000000e+00
14,9,115,4.954636e-05,5.405102e-03,1.089779e-02,0.000000e+00,0.000000e+00
15,7,122,6.731134e-05,5.531884e-03,1.130150e-02,0.000000e+00,0.000000e+00
16,7,129,1.067994e-04,5.886776e-03,1.132123e-02,0.000000e+00,0.000000e+00
17,9,138,2.742279e-05,5.842435e-03,1.222959e-02,0.000000e+00,0.000000e+00
18,8,146,3.525987e-05,6.060374e-03,1.169138e-02,0.000000e+00,0.000000e+00
19,8,154,6.388873e-05,6.233871e-03,1.087518e-02,0.000000e+00,0.000000e+00
20,8,162,1.346460e-04,6.492564e-03,1.171071e-02,0.000000e+00,0.000000e+00
21,8,170,2.376176e-04,6.453509e-03,1.139462e-02,0.000000e+00,0.000000e+00
22,8,178,5.024485e-05,6.725943e-03,1.200033e-02,0.000000e+00,0.000000e+00
23,9,187,4.783645e-04,6.698590e-03,1.156027e-02,0.000000e+00,0.000000e+00
24,8,195,6.463379e-06,6.878695e-03,1.417549e-02,0.000000e+00,0.000000e+00
25,7,202,1.951214e-04,6.723663e-03,1.206728e-02,0.000000e+00,0.000000e+00
26,7,209,1.267996e-05,7.291234e-03,1.429512e-02,0.000000e+00,0.000000e+00
27,9,218,3.597885e-04,7.209085e-03,1.567025e-02,0.000000e+00,0.000000e+00
28,7,225,1.929607e-04,7.222772e-03,1.300324e-02,0.000000e+00,0.000000e+00
29,6,231,1.479732e-04,7.141012e-03,1.505063e-02,0.000000e+00,0.000000e+00
30,7,238,4.681665e-04,7.480313e-03,1.355205e-02,0.000000e+00,0.000000e+00
31,7,245,9.448733e-05,7.306902e-03,1.557927e-02,0.000000e+00,0.000000e+00
32,7,252,1.822459e-04,7.554337e-03,1.387779e-02,0.000000e+00,0.000000e+00
33,6,258,9.925570e-05,7.275151e-03,1.350602e-02,0.000000e+00,0.000000e+00
34,6,264,1.580454e-05,7.696413e-03,1.411673e-02,0.000000e+00,0.000000e+00
35,6,270,9.876676e-05,7.217352e-03,1.380447e-02,0.000000e+00,0.000000e+00
36,6,276,6.551528e-04,7.871721e-03,1.412191e-02,0.000000e+00,0.000000e+00
37,7,283,2.724584e-05,7.600855e-03,1.311983e-02,0.000000e+00,0.000000e+00
38,7,290,8.773059e-06,7.755097e-03,1.482168e-02,0.000000e+00,0.000000e+00
39,8,298,4.167389e-04,7.395479e-03,1.196826e-02,0.000000e+00,0.000000e+00
40,6,304,1.794007e-04,8.067576e-03,1.592025e-02,0.000000e+00,0.000000e+00
41,7,311,1.215003e-04,7.443447e-03,1.190718e-02,0.000000e+00,0.000000e+00
42,6,317,2.058782e-04,8.020008e-03,1.615671e-02,0.000000e+00,0.000000e+00
43,6,323,2.844911e-04,7.524894e-03,1.353867e-02,0.000000e+00,0.000000e+00
44,6,329,1.452491e-04,7.716822e-03,1.524988e-02,0.000000e+00,0.000000e+00
45,5,334,3.658421e-04,7.502212e-03,1.267115e-02,0.000000e+00,0.000000e+00
46,7,341,4.046690e-04,8.070100e-03,1.361754e-02,0.000000e+00,0.000000e+00
47,5,346,3.635976e-04,7.593019e-03,1.259719e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 35764, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 48, 'capped_boundaries': 0, 'unfinished_worlds': 0}
48,7,353,3.139954e-05,7.882143e-03,1.579950e-02,0.000000e+00,0.000000e+00
49,10,363,4.186668e-04,7.429072e-03,1.208971e-02,0.000000e+00,0.000000e+00
50,6,369,1.673913e-04,7.707531e-03,1.646635e-02,0.000000e+00,0.000000e+00
51,10,379,1.773052e-04,7.246988e-03,1.424181e-02,0.000000e+00,0.000000e+00
52,17,396,9.058975e-05,7.575621e-03,1.459677e-02,0.000000e+00,0.000000e+00
53,11,407,3.473926e-04,7.538633e-03,1.220623e-02,0.000000e+00,0.000000e+00
54,11,418,5.268026e-04,7.375670e-03,1.334148e-02,0.000000e+00,0.000000e+00
55,12,430,8.323230e-05,7.174111e-03,1.472436e-02,0.000000e+00,0.000000e+00
56,11,441,2.487237e-04,7.431398e-03,1.816905e-02,0.000000e+00,0.000000e+00
57,11,452,1.993217e-04,7.037887e-03,1.366372e-02,0.000000e+00,0.000000e+00
58,12,464,1.303060e-04,7.084750e-03,1.588480e-02,0.000000e+00,0.000000e+00
59,11,475,3.566220e-04,6.759847e-03,1.673003e-02,0.000000e+00,0.000000e+00
60,10,485,5.462207e-05,7.403453e-03,1.385927e-02,0.000000e+00,0.000000e+00
61,11,496,5.880371e-05,7.053963e-03,1.665346e-02,0.000000e+00,0.000000e+00
62,10,506,7.822644e-05,6.970148e-03,1.801569e-02,0.000000e+00,0.000000e+00
63,11,517,1.348229e-04,6.560036e-03,1.390550e-02,0.000000e+00,0.000000e+00
64,13,530,6.439164e-05,6.938311e-03,1.413019e-02,0.000000e+00,0.000000e+00
65,15,545,6.347429e-05,6.508483e-03,1.448680e-02,0.000000e+00,0.000000e+00
66,18,563,2.323650e-04,7.238167e-03,1.599761e-02,0.000000e+00,0.000000e+00
67,10,573,5.378388e-05,6.834921e-03,1.639955e-02,0.000000e+00,0.000000e+00
68,13,586,1.540128e-04,6.987248e-03,1.717399e-02,0.000000e+00,0.000000e+00
69,21,607,4.315749e-05,7.014462e-03,1.590799e-02,0.000000e+00,0.000000e+00
70,13,620,1.279125e-04,6.573986e-03,1.515613e-02,0.000000e+00,0.000000e+00
71,12,632,7.008668e-05,6.394121e-03,1.365180e-02,0.000000e+00,0.000000e+00
72,14,646,2.264977e-05,6.875580e-03,1.482538e-02,0.000000e+00,0.000000e+00
73,13,659,2.325419e-04,6.200182e-03,1.817925e-02,0.000000e+00,0.000000e+00
74,11,670,2.185768e-04,6.830074e-03,1.817041e-02,0.000000e+00,0.000000e+00
75,10,680,4.977919e-05,6.345554e-03,1.244099e-02,0.000000e+00,0.000000e+00
76,10,690,2.164626e-04,6.661145e-03,1.674934e-02,0.000000e+00,0.000000e+00
77,13,703,4.527625e-05,6.306574e-03,1.312872e-02,0.000000e+00,0.000000e+00
78,20,723,5.987473e-05,6.565935e-03,1.481390e-02,0.000000e+00,0.000000e+00
79,16,739,5.226117e-05,6.273142e-03,1.295841e-02,0.000000e+00,0.000000e+00
80,14,753,5.083671e-04,6.435278e-03,1.314629e-02,0.000000e+00,0.000000e+00
81,18,771,4.404690e-05,6.312110e-03,1.381721e-02,0.000000e+00,0.000000e+00
82,14,785,1.791958e-04,6.336115e-03,1.422431e-02,0.000000e+00,0.000000e+00
83,15,800,1.602340e-05,6.217470e-03,1.263088e-02,0.000000e+00,0.000000e+00
84,15,815,1.381617e-05,6.383701e-03,1.364096e-02,0.000000e+00,0.000000e+00
85,15,830,1.141801e-05,6.268616e-03,1.346641e-02,0.000000e+00,0.000000e+00
86,11,841,1.603272e-04,6.327308e-03,1.665969e-02,0.000000e+00,0.000000e+00
87,12,853,2.178410e-04,6.194687e-03,1.315565e-02,0.000000e+00,0.000000e+00
88,11,864,1.529977e-04,6.275210e-03,1.291963e-02,0.000000e+00,0.000000e+00
89,18,882,1.340173e-04,5.819529e-03,1.117056e-02,0.000000e+00,0.000000e+00
90,12,894,9.908807e-05,6.394417e-03,1.448596e-02,0.000000e+00,0.000000e+00
91,11,905,9.982847e-05,6.109194e-03,1.817041e-02,0.000000e+00,0.000000e+00
92,18,923,2.534594e-05,6.352846e-03,1.484811e-02,0.000000e+00,0.000000e+00
93,13,936,2.299855e-04,5.916347e-03,1.239712e-02,0.000000e+00,0.000000e+00
94,14,950,6.227754e-05,6.470297e-03,1.817925e-02,0.000000e+00,0.000000e+00
95,15,965,1.531281e-04,6.186960e-03,1.591392e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 78072, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 96, 'capped_boundaries': 0, 'unfinished_worlds': 0}
96,14,979,2.344605e-04,5.930169e-03,1.396524e-02,0.000000e+00,0.000000e+00
97,10,989,5.992129e-05,6.037790e-03,1.225844e-02,0.000000e+00,0.000000e+00
98,14,1003,1.348462e-04,6.301876e-03,1.454679e-02,0.000000e+00,0.000000e+00
99,16,1019,2.626330e-06,5.727190e-03,1.467765e-02,0.000000e+00,0.000000e+00
100,17,1036,1.022592e-04,6.838016e-03,1.687125e-02,0.000000e+00,0.000000e+00
101,17,1053,2.326909e-05,5.950218e-03,1.648938e-02,0.000000e+00,0.000000e+00
102,18,1071,9.357929e-05,6.105007e-03,1.225469e-02,0.000000e+00,0.000000e+00
103,12,1083,2.369564e-04,6.130871e-03,1.206937e-02,0.000000e+00,0.000000e+00
104,13,1096,9.654090e-05,6.046220e-03,1.431375e-02,0.000000e+00,0.000000e+00
105,13,1109,3.322680e-04,5.895895e-03,1.771980e-02,0.000000e+00,0.000000e+00
106,11,1120,3.263634e-04,6.288125e-03,1.817925e-02,0.000000e+00,0.000000e+00
107,15,1135,2.504326e-05,6.376468e-03,1.372081e-02,0.000000e+00,0.000000e+00
108,16,1151,9.137671e-05,6.549427e-03,1.398935e-02,0.000000e+00,0.000000e+00
109,14,1165,4.114583e-05,5.914471e-03,1.434845e-02,0.000000e+00,0.000000e+00
110,14,1179,3.087334e-06,6.244393e-03,1.701082e-02,0.000000e+00,0.000000e+00
111,18,1197,3.837049e-05,5.912914e-03,1.411182e-02,0.000000e+00,0.000000e+00
112,19,1216,1.819013e-04,6.397723e-03,1.470389e-02,0.000000e+00,0.000000e+00
113,11,1227,5.204231e-05,6.458470e-03,1.816159e-02,0.000000e+00,0.000000e+00
114,14,1241,1.021521e-04,6.293866e-03,1.527624e-02,0.000000e+00,0.000000e+00
115,12,1253,1.845276e-04,5.951936e-03,1.557009e-02,0.000000e+00,0.000000e+00
116,15,1268,4.130416e-05,6.273896e-03,1.225122e-02,0.000000e+00,0.000000e+00
117,16,1284,6.227754e-05,5.810362e-03,1.328003e-02,0.000000e+00,0.000000e+00
118,13,1297,1.941621e-04,6.129743e-03,1.504716e-02,0.000000e+00,0.000000e+00
119,15,1312,5.958136e-05,5.789190e-03,1.407889e-02,0.000000e+00,0.000000e+00
120,16,1328,1.187436e-05,5.869242e-03,1.725936e-02,0.000000e+00,0.000000e+00
121,12,1340,3.549783e-04,5.680882e-03,1.270558e-02,0.000000e+00,0.000000e+00
122,10,1350,9.457581e-06,6.090574e-03,1.505468e-02,0.000000e+00,0.000000e+00
123,16,1366,4.992401e-04,5.922055e-03,1.417321e-02,0.000000e+00,0.000000e+00
124,12,1378,1.781154e-05,6.218296e-03,1.422086e-02,0.000000e+00,0.000000e+00
125,13,1391,2.508378e-04,6.152292e-03,1.437327e-02,0.000000e+00,0.000000e+00
126,14,1405,1.926906e-04,6.262233e-03,1.407564e-02,0.000000e+00,0.000000e+00
127,21,1426,2.659764e-04,5.845212e-03,1.130571e-02,0.000000e+00,0.000000e+00
128,12,1438,1.757406e-05,6.189245e-03,1.483610e-02,0.000000e+00,0.000000e+00
129,12,1450,1.513679e-04,6.183433e-03,1.428664e-02,0.000000e+00,0.000000e+00
130,15,1465,4.576053e-05,6.408764e-03,1.494017e-02,0.000000e+00,0.000000e+00
131,12,1477,1.418870e-05,5.723403e-03,1.529640e-02,0.000000e+00,0.000000e+00
132,17,1494,5.904585e-05,6.218613e-03,1.628418e-02,0.000000e+00,0.000000e+00
133,15,1509,5.287584e-05,6.015861e-03,1.800493e-02,0.000000e+00,0.000000e+00
134,11,1520,1.411419e-05,6.060118e-03,1.682300e-02,0.000000e+00,0.000000e+00
135,16,1536,4.546531e-04,6.186783e-03,1.271825e-02,0.000000e+00,0.000000e+00
136,15,1551,1.166016e-04,6.244245e-03,1.843353e-02,0.000000e+00,0.000000e+00
137,14,1565,1.631677e-04,5.897325e-03,1.606153e-02,0.000000e+00,0.000000e+00
138,12,1577,4.433095e-05,6.431237e-03,1.559724e-02,0.000000e+00,0.000000e+00
139,15,1592,3.127847e-05,5.978872e-03,1.345922e-02,0.000000e+00,0.000000e+00
140,14,1606,6.570481e-05,6.255495e-03,1.323187e-02,0.000000e+00,0.000000e+00
141,13,1619,1.412863e-04,5.896598e-03,1.518747e-02,0.000000e+00,0.000000e+00
142,21,1640,5.862676e-06,6.036840e-03,1.357065e-02,0.000000e+00,0.000000e+00
143,14,1654,2.103392e-04,6.223397e-03,1.276551e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 127407, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 144, 'capped_boundaries': 0, 'unfinished_worlds': 0}
144,12,1666,9.172596e-05,6.215636e-03,1.187829e-02,0.000000e+00,0.000000e+00
145,16,1682,4.594214e-05,5.886822e-03,1.388349e-02,0.000000e+00,0.000000e+00
146,13,1695,3.198627e-05,6.209635e-03,1.477242e-02,0.000000e+00,0.000000e+00
147,15,1710,1.886487e-04,6.258673e-03,1.370070e-02,0.000000e+00,0.000000e+00
148,14,1724,5.198177e-05,6.063080e-03,1.625385e-02,0.000000e+00,0.000000e+00
149,15,1739,8.424744e-05,6.159645e-03,1.280494e-02,0.000000e+00,0.000000e+00
150,9,1748,1.742877e-04,6.347734e-03,1.386451e-02,0.000000e+00,0.000000e+00
151,15,1763,2.857763e-05,6.048565e-03,1.368712e-02,0.000000e+00,0.000000e+00
152,13,1776,1.059566e-04,6.372504e-03,1.519919e-02,0.000000e+00,0.000000e+00
153,12,1788,1.437031e-05,6.092716e-03,1.552805e-02,0.000000e+00,0.000000e+00
154,14,1802,5.554408e-05,5.940655e-03,1.533606e-02,0.000000e+00,0.000000e+00
155,15,1817,1.378730e-04,5.953840e-03,1.336502e-02,0.000000e+00,0.000000e+00
156,11,1828,2.153777e-04,6.347357e-03,1.281663e-02,0.000000e+00,0.000000e+00
157,14,1842,1.537753e-04,6.202569e-03,1.558809e-02,0.000000e+00,0.000000e+00
158,12,1854,7.702038e-06,6.475273e-03,1.365414e-02,0.000000e+00,0.000000e+00
159,11,1865,3.471971e-05,6.190082e-03,1.505155e-02,0.000000e+00,0.000000e+00
160,10,1875,1.120660e-04,6.625235e-03,1.368916e-02,0.000000e+00,0.000000e+00
161,14,1889,7.739291e-05,6.187918e-03,1.457983e-02,0.000000e+00,0.000000e+00
162,12,1901,6.053597e-07,6.130201e-03,1.521978e-02,0.000000e+00,0.000000e+00
163,11,1912,1.736544e-04,5.988091e-03,1.550071e-02,0.000000e+00,0.000000e+00
164,13,1925,1.897383e-04,6.587188e-03,1.293121e-02,0.000000e+00,0.000000e+00
165,10,1935,3.849436e-04,6.185268e-03,1.367451e-02,0.000000e+00,0.000000e+00
166,16,1951,1.451327e-04,6.351508e-03,1.367031e-02,0.000000e+00,0.000000e+00
167,10,1961,1.690350e-05,6.036511e-03,1.265915e-02,0.000000e+00,0.000000e+00
168,19,1980,1.184642e-04,6.314997e-03,1.391147e-02,0.000000e+00,0.000000e+00
169,17,1997,1.247367e-04,5.919895e-03,1.486330e-02,0.000000e+00,0.000000e+00
170,13,2010,3.832392e-05,6.146179e-03,1.721531e-02,0.000000e+00,0.000000e+00
171,15,2025,1.467671e-04,6.121553e-03,1.445927e-02,0.000000e+00,0.000000e+00
172,12,2037,4.369766e-05,6.051923e-03,1.503973e-02,0.000000e+00,0.000000e+00
