boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
0,5,5,5.069629e-03,8.993485e-03,1.000000e-02,0.000000e+00,0.000000e+00
1,3,8,5.668586e-03,7.179572e-03,1.000000e-02,0.000000e+00,0.000000e+00
2,3,11,6.130517e-03,7.053432e-03,9.758773e-03,0.000000e+00,0.000000e+00
3,8,19,2.731789e-03,5.426232e-03,1.038447e-02,0.000000e+00,0.000000e+00
4,7,26,2.754105e-03,5.712275e-03,1.000000e-02,0.000000e+00,0.000000e+00
5,8,34,2.686024e-03,5.630209e-03,9.408565e-03,0.000000e+00,0.000000e+00
6,7,41,2.312056e-03,5.651567e-03,1.007294e-02,0.000000e+00,0.000000e+00
7,8,49,2.415308e-03,5.584488e-03,9.449909e-03,0.000000e+00,0.000000e+00
8,7,56,2.236336e-03,5.053100e-03,9.714956e-03,0.000000e+00,0.000000e+00
9,7,63,2.863280e-03,5.135838e-03,9.714956e-03,0.000000e+00,0.000000e+00
10,9,72,2.168318e-03,4.081824e-03,1.000000e-02,0.000000e+00,0.000000e+00
11,9,81,2.066089e-03,4.889573e-03,8.279611e-03,0.000000e+00,0.000000e+00
12,12,93,1.350659e-03,4.985061e-03,1.000000e-02,0.000000e+00,0.000000e+00
13,12,105,1.494401e-03,4.920643e-03,9.764147e-03,0.000000e+00,0.000000e+00
14,6,111,2.283503e-03,5.170269e-03,1.000000e-02,0.000000e+00,0.000000e+00
15,7,118,1.703887e-03,5.200062e-03,9.787976e-03,0.000000e+00,0.000000e+00
16,7,125,1.945540e-03,5.361048e-03,9.787976e-03,0.000000e+00,0.000000e+00
17,8,133,1.880723e-03,5.376042e-03,9.659276e-03,0.000000e+00,0.000000e+00
18,8,141,2.096279e-03,5.520764e-03,1.000000e-02,0.000000e+00,0.000000e+00
19,9,150,2.245408e-03,5.660429e-03,9.556227e-03,0.000000e+00,0.000000e+00
20,8,158,2.098719e-03,5.956714e-03,1.003126e-02,0.000000e+00,0.000000e+00
21,7,165,1.802303e-03,5.848452e-03,1.000000e-02,0.000000e+00,0.000000e+00
22,8,173,2.448406e-03,6.119772e-03,1.096561e-02,0.000000e+00,0.000000e+00
23,9,182,2.148491e-03,6.106115e-03,1.036583e-02,0.000000e+00,0.000000e+00
24,9,191,2.464795e-03,6.219630e-03,1.000000e-02,0.000000e+00,0.000000e+00
25,7,198,2.272959e-03,6.096346e-03,1.194522e-02,0.000000e+00,0.000000e+00
26,8,206,1.975373e-03,6.473911e-03,1.100432e-02,0.000000e+00,0.000000e+00
27,6,212,2.483626e-03,6.437105e-03,1.134258e-02,0.000000e+00,0.000000e+00
28,7,219,2.556246e-03,6.533546e-03,1.063403e-02,0.000000e+00,0.000000e+00
29,7,226,3.074620e-03,6.526783e-03,1.042702e-02,0.000000e+00,0.000000e+00
30,6,232,2.006629e-03,6.799146e-03,1.128846e-02,0.000000e+00,0.000000e+00
31,6,238,2.436390e-03,6.675795e-03,1.118830e-02,0.000000e+00,0.000000e+00
32,7,245,2.789508e-03,6.897272e-03,1.272619e-02,0.000000e+00,0.000000e+00
33,8,253,2.310594e-03,6.698371e-03,1.158404e-02,0.000000e+00,0.000000e+00
34,6,259,3.229416e-03,6.979076e-03,1.104061e-02,0.000000e+00,0.000000e+00
35,6,265,2.603487e-03,6.874254e-03,1.101999e-02,0.000000e+00,0.000000e+00
