boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
0,5,5,5.022264e-03,9.121515e-03,1.089000e-02,0.000000e+00,0.000000e+00
1,3,8,4.629968e-03,9.029803e-03,1.089000e-02,0.000000e+00,0.000000e+00
2,6,14,3.838865e-04,7.831061e-03,1.089000e-02,0.000000e+00,0.000000e+00
3,8,22,2.733525e-04,6.029485e-03,1.264358e-02,0.000000e+00,0.000000e+00
4,7,29,5.876645e-05,5.935789e-03,1.237642e-02,0.000000e+00,0.000000e+00
5,8,37,6.114133e-06,6.081482e-03,1.152999e-02,0.000000e+00,0.000000e+00
6,8,45,6.090850e-05,6.178353e-03,1.223407e-02,0.000000e+00,0.000000e+00
7,8,53,7.147901e-06,6.023248e-03,1.089000e-02,0.000000e+00,0.000000e+00
8,8,61,2.796296e-05,4.797672e-03,1.000000e-02,0.000000e+00,0.000000e+00
9,8,69,1.686160e-05,4.990018e-03,1.085265e-02,0.000000e+00,0.000000e+00
10,8,77,1.601083e-04,4.824636e-03,1.089000e-02,0.000000e+00,0.000000e+00
11,9,86,6.463379e-06,4.648078e-03,1.029831e-02,0.000000e+00,0.000000e+00
12,11,97,3.385358e-06,5.008835e-03,1.148075e-02,0.000000e+00,0.000000e+00
13,12,109,1.536682e-07,4.783791e-03,1.273762e-02,0.000000e+00,0.000000e+00
14,10,119,3.948808e-06,4.944891e-03,1.259937e-02,0.000000e+00,0.000000e+00
15,9,128,5.499460e-06,5.070824e-03,1.092206e-02,0.000000e+00,0.000000e+00
16,9,137,1.894776e-05,5.408222e-03,1.339249e-02,0.000000e+00,0.000000e+00
17,8,145,2.868474e-06,5.514039e-03,1.203111e-02,0.000000e+00,0.000000e+00
18,9,154,7.310882e-07,5.723314e-03,1.256664e-02,0.000000e+00,0.000000e+00
19,10,164,2.774876e-05,5.822891e-03,1.168020e-02,0.000000e+00,0.000000e+00
20,9,173,2.819113e-05,6.216671e-03,1.459384e-02,0.000000e+00,0.000000e+00
21,9,182,1.859851e-05,6.202053e-03,1.394566e-02,0.000000e+00,0.000000e+00
22,10,192,3.427267e-06,6.402682e-03,1.329451e-02,0.000000e+00,0.000000e+00
23,9,201,1.855195e-05,6.270600e-03,1.338784e-02,0.000000e+00,0.000000e+00
24,8,209,4.068483e-05,6.579015e-03,1.354997e-02,0.000000e+00,0.000000e+00
25,8,217,2.412125e-06,6.470154e-03,1.257857e-02,0.000000e+00,0.000000e+00
26,9,226,1.131557e-06,6.819345e-03,1.409230e-02,0.000000e+00,0.000000e+00
27,8,234,1.778826e-06,6.670310e-03,1.369561e-02,0.000000e+00,0.000000e+00
28,9,243,1.878478e-05,6.971505e-03,1.560978e-02,0.000000e+00,0.000000e+00
29,8,251,1.560897e-05,6.767507e-03,1.255320e-02,0.000000e+00,0.000000e+00
30,8,259,2.962537e-05,7.126593e-03,1.428590e-02,0.000000e+00,0.000000e+00
31,7,266,1.679175e-05,6.906182e-03,1.305262e-02,0.000000e+00,0.000000e+00
32,8,274,9.739771e-05,7.325874e-03,1.442367e-02,0.000000e+00,0.000000e+00
33,10,284,5.733222e-05,7.077675e-03,1.462097e-02,0.000000e+00,0.000000e+00
34,9,293,1.166947e-05,7.477380e-03,1.598257e-02,0.000000e+00,0.000000e+00
35,8,301,8.950010e-05,7.245803e-03,1.384714e-02,0.000000e+00,0.000000e+00
36,7,308,5.485490e-06,7.657412e-03,1.817826e-02,0.000000e+00,0.000000e+00
37,8,316,3.516674e-05,7.338138e-03,1.478268e-02,0.000000e+00,0.000000e+00
38,7,323,1.091510e-05,7.711045e-03,1.504692e-02,0.000000e+00,0.000000e+00
39,8,331,9.908341e-05,7.425321e-03,1.347135e-02,0.000000e+00,0.000000e+00
40,8,339,1.285691e-05,7.810487e-03,1.400948e-02,0.000000e+00,0.000000e+00
41,9,348,6.211922e-05,7.364403e-03,1.635469e-02,0.000000e+00,0.000000e+00
42,9,357,1.061754e-04,7.828495e-03,1.689481e-02,0.000000e+00,0.000000e+00
43,10,367,2.764165e-05,7.450309e-03,1.445593e-02,0.000000e+00,0.000000e+00
44,11,378,2.607703e-06,7.737790e-03,1.817689e-02,0.000000e+00,0.000000e+00
45,11,389,1.061708e-06,7.357181e-03,1.370627e-02,0.000000e+00,0.000000e+00
46,9,398,1.486391e-05,7.633956e-03,1.685502e-02,0.000000e+00,0.000000e+00
47,9,407,4.264526e-05,7.367272e-03,1.293675e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 286405, 'floor_samples': 3, 'floor_fraction': 1.0474677467222988e-05, 'saturation_depth': 1.5366822481155396e-07, 'boundaries': 48, 'capped_boundaries': 0, 'unfinished_worlds': 0}
