boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
0,5,5,5.069628e-03,8.993485e-03,1.000000e-02,0.000000e+00,0.000000e+00,156,1.641512e-04,0,0,0
1,3,8,5.668586e-03,7.179572e-03,1.000000e-02,0.000000e+00,0.000000e+00,197,1.383172e-04,0,0,0
2,3,11,6.130532e-03,7.053431e-03,9.758762e-03,0.000000e+00,0.000000e+00,37,2.823938e-04,0,0,0
3,8,19,2.731782e-03,5.426232e-03,1.038447e-02,0.000000e+00,0.000000e+00,354,1.939386e-05,0,0,0
4,7,26,2.754110e-03,5.712276e-03,1.000000e-02,0.000000e+00,0.000000e+00,47,1.545995e-07,0,0,0
5,8,34,2.686024e-03,5.630210e-03,9.408563e-03,0.000000e+00,0.000000e+00,119,9.790063e-06,0,0,0
6,7,41,2.312068e-03,5.651566e-03,1.007293e-02,0.000000e+00,0.000000e+00,78,8.542428e-05,0,0,0
7,8,49,2.415308e-03,5.584487e-03,9.449909e-03,0.000000e+00,0.000000e+00,55,1.466274e-05,0,0,0
8,7,56,2.236338e-03,5.093601e-03,9.714982e-03,0.000000e+00,0.000000e+00,113,1.392420e-05,0,0,0
9,7,63,2.863108e-03,5.159975e-03,9.714982e-03,0.000000e+00,0.000000e+00,98,2.834422e-05,0,0,0
10,9,72,2.168369e-03,4.079529e-03,1.000000e-02,0.000000e+00,0.000000e+00,263,1.043081e-07,0,0,0
11,9,81,2.069276e-03,4.853066e-03,8.272617e-03,0.000000e+00,0.000000e+00,114,1.381263e-04,0,0,0
12,10,91,1.707328e-03,5.028771e-03,1.000000e-02,0.000000e+00,0.000000e+00,135,1.178123e-05,0,0,0
13,10,101,1.695296e-03,5.013196e-03,9.764144e-03,0.000000e+00,0.000000e+00,104,4.707985e-04,0,0,0
14,6,107,2.510047e-03,5.122866e-03,1.000000e-02,0.000000e+00,0.000000e+00,82,2.267759e-04,0,0,0
15,7,114,2.468514e-03,5.107971e-03,9.756307e-03,0.000000e+00,0.000000e+00,91,2.681659e-05,0,0,0
16,8,122,2.023801e-03,5.278556e-03,9.756307e-03,0.000000e+00,0.000000e+00,71,1.340359e-05,0,0,0
17,8,130,1.723110e-03,5.375777e-03,9.659280e-03,0.000000e+00,0.000000e+00,67,4.170416e-05,0,0,0
18,8,138,1.843310e-03,5.552331e-03,1.000000e-02,0.000000e+00,0.000000e+00,75,1.180172e-05,0,0,0
19,8,146,1.620590e-03,5.682138e-03,9.198079e-03,0.000000e+00,0.000000e+00,56,5.185604e-06,0,0,0
20,8,154,1.512325e-03,5.880178e-03,1.063129e-02,0.000000e+00,0.000000e+00,60,3.802776e-05,0,0,0
21,8,162,2.524375e-03,5.800334e-03,1.000000e-02,0.000000e+00,0.000000e+00,71,1.916289e-04,0,0,0
22,6,168,1.759336e-03,6.064944e-03,1.018371e-02,0.000000e+00,0.000000e+00,56,2.759993e-04,0,0,0
23,9,177,2.269759e-03,5.998757e-03,1.036574e-02,0.000000e+00,0.000000e+00,68,7.658824e-05,0,0,0
24,8,185,2.546158e-03,6.303510e-03,1.020528e-02,0.000000e+00,0.000000e+00,54,3.799796e-07,0,0,0
25,8,193,1.912566e-03,6.114714e-03,1.194856e-02,0.000000e+00,0.000000e+00,82,1.020730e-06,0,0,0
26,7,200,2.725543e-03,6.439052e-03,1.094533e-02,0.000000e+00,0.000000e+00,59,6.782496e-05,0,0,0
27,6,206,2.421736e-03,6.501571e-03,1.134102e-02,0.000000e+00,0.000000e+00,65,1.996756e-05,0,0,0
28,8,214,2.264146e-03,6.563880e-03,1.000000e-02,0.000000e+00,0.000000e+00,78,1.779422e-04,0,0,0
29,7,221,2.722994e-03,6.522065e-03,1.114791e-02,0.000000e+00,0.000000e+00,64,1.490116e-06,0,0,0
30,8,229,2.270797e-03,6.686216e-03,1.164406e-02,0.000000e+00,0.000000e+00,80,6.377697e-06,0,0,0
31,7,236,2.153399e-03,6.547169e-03,1.008822e-02,0.000000e+00,0.000000e+00,75,1.663808e-05,0,0,0
32,8,244,2.554718e-03,6.775829e-03,1.271883e-02,0.000000e+00,0.000000e+00,63,1.715760e-04,0,0,0
33,8,252,2.477714e-03,6.624175e-03,1.157923e-02,0.000000e+00,0.000000e+00,76,5.722046e-06,0,0,0
34,6,258,2.522985e-03,6.788616e-03,1.103379e-02,0.000000e+00,0.000000e+00,72,4.301267e-04,0,0,0
35,6,264,3.065828e-03,6.734675e-03,1.185646e-02,0.000000e+00,0.000000e+00,66,5.507469e-05,0,0,0
36,7,271,1.553093e-03,7.179600e-03,1.306714e-02,0.000000e+00,0.000000e+00,51,6.876886e-06,0,0,0
37,6,277,2.741119e-03,6.942868e-03,1.023812e-02,0.000000e+00,0.000000e+00,80,3.147125e-05,0,0,0
38,7,284,2.768421e-03,7.120580e-03,1.194514e-02,0.000000e+00,0.000000e+00,72,3.755093e-05,0,0,0
39,8,292,2.174540e-03,6.936586e-03,1.076056e-02,0.000000e+00,0.000000e+00,76,1.503713e-05,0,0,0
40,5,297,3.204907e-03,7.254752e-03,1.270795e-02,0.000000e+00,0.000000e+00,54,2.629757e-04,0,0,0
41,7,304,2.582732e-03,7.093033e-03,1.015905e-02,0.000000e+00,0.000000e+00,64,5.960464e-06,0,0,0
42,7,311,1.989945e-03,7.631345e-03,1.410133e-02,0.000000e+00,0.000000e+00,51,1.175776e-04,0,0,0
43,8,319,2.766712e-03,7.300357e-03,1.066593e-02,0.000000e+00,0.000000e+00,91,9.647012e-05,0,0,0
44,5,324,3.074548e-03,7.631667e-03,1.209172e-02,0.000000e+00,0.000000e+00,64,1.649261e-04,0,0,0
45,7,331,2.763841e-03,7.210553e-03,1.000000e-02,0.000000e+00,0.000000e+00,100,3.349193e-05,0,0,0
46,7,338,3.005248e-03,7.551729e-03,1.352271e-02,0.000000e+00,0.000000e+00,83,1.442432e-05,0,0,0
47,7,345,1.661333e-03,7.206364e-03,1.205346e-02,0.000000e+00,0.000000e+00,92,1.126379e-04,0,0,0
HIST {'total_samples': 32843, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 48, 'capped_boundaries': 0, 'unfinished_worlds': 0}
48,8,353,2.939874e-03,7.385548e-03,1.317690e-02,0.000000e+00,0.000000e+00,68,7.748604e-07,0,0,0
49,11,364,2.110052e-03,7.054818e-03,1.089000e-02,0.000000e+00,0.000000e+00,90,6.022817e-05,0,0,0
50,8,372,2.387622e-03,7.401733e-03,1.329417e-02,0.000000e+00,0.000000e+00,64,7.903576e-05,0,0,0
51,11,383,1.470684e-03,6.955817e-03,1.229996e-02,0.000000e+00,0.000000e+00,115,4.536676e-04,0,0,0
52,12,395,1.010691e-03,7.212704e-03,1.411724e-02,0.000000e+00,0.000000e+00,79,6.390587e-05,0,0,0
53,10,405,1.248643e-03,6.816999e-03,1.074417e-02,0.000000e+00,0.000000e+00,108,2.592802e-06,0,0,0
54,14,419,1.411130e-03,6.957790e-03,1.302684e-02,0.000000e+00,0.000000e+00,93,1.248121e-04,0,0,0
55,9,428,1.659647e-03,6.660008e-03,1.018520e-02,0.000000e+00,0.000000e+00,111,2.630986e-05,0,0,0
56,9,437,1.392001e-03,6.915314e-03,1.262875e-02,0.000000e+00,0.000000e+00,81,8.205650e-05,0,0,0
57,10,447,1.087109e-03,6.661619e-03,1.222433e-02,0.000000e+00,0.000000e+00,102,2.346362e-05,0,0,0
58,9,456,1.544142e-03,6.979392e-03,1.255707e-02,0.000000e+00,0.000000e+00,86,4.470348e-07,0,0,0
59,10,466,1.865819e-03,6.578687e-03,1.166450e-02,0.000000e+00,0.000000e+00,124,1.227856e-05,0,0,0
60,12,478,1.305243e-03,6.632903e-03,1.248946e-02,0.000000e+00,0.000000e+00,104,2.661347e-05,0,0,0
61,11,489,9.601215e-04,6.283240e-03,1.047684e-02,0.000000e+00,0.000000e+00,130,1.459420e-04,0,0,0
62,14,503,1.010200e-03,6.382538e-03,1.348152e-02,0.000000e+00,0.000000e+00,114,4.891753e-04,0,0,0
63,11,514,1.360352e-03,6.066962e-03,1.197900e-02,0.000000e+00,0.000000e+00,133,2.347548e-04,0,0,0
64,10,524,1.008351e-03,6.100741e-03,1.168669e-02,0.000000e+00,0.000000e+00,113,6.792843e-04,0,0,0
65,14,538,1.038779e-03,5.911058e-03,1.068119e-02,0.000000e+00,0.000000e+00,140,1.977198e-06,0,0,0
66,15,553,9.838763e-04,6.066788e-03,1.227725e-02,0.000000e+00,0.000000e+00,121,4.376769e-04,0,0,0
67,14,567,1.063237e-03,5.903473e-03,1.073085e-02,0.000000e+00,0.000000e+00,126,3.811717e-04,0,0,0
68,14,581,1.082539e-03,6.021860e-03,1.121188e-02,0.000000e+00,0.000000e+00,121,2.899021e-04,0,0,0
69,15,596,9.033479e-04,5.763725e-03,1.271286e-02,0.000000e+00,0.000000e+00,150,6.707758e-05,0,0,0
70,18,614,8.930985e-04,5.949316e-03,1.251246e-02,0.000000e+00,0.000000e+00,120,9.202957e-05,0,0,0
71,13,627,9.239014e-04,5.670148e-03,1.112336e-02,0.000000e+00,0.000000e+00,155,3.667045e-04,0,0,0
72,11,638,1.305011e-03,5.879621e-03,1.167593e-02,0.000000e+00,0.000000e+00,121,1.670420e-04,0,0,0
73,15,653,1.017652e-03,5.702087e-03,1.357903e-02,0.000000e+00,0.000000e+00,135,6.655790e-05,0,0,0
74,12,665,1.005971e-03,5.801550e-03,1.122184e-02,0.000000e+00,0.000000e+00,139,7.152557e-06,0,0,0
75,13,678,9.862186e-04,5.593846e-03,1.065741e-02,0.000000e+00,0.000000e+00,152,2.664537e-05,0,0,0
76,15,693,1.080678e-03,5.765947e-03,1.091718e-02,0.000000e+00,0.000000e+00,126,6.404985e-04,0,0,0
77,12,705,9.026274e-04,5.634091e-03,1.303339e-02,0.000000e+00,0.000000e+00,142,2.581701e-04,0,0,0
