boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard,eworld,qmax_i,qmax,ncon
0,5,5,5.069652e-03,8.993507e-03,1.000000e-02,0.000000e+00,0.000000e+00,156,1.641404e-04,0,0,0,9,16,1.873002e+01,13463
1,3,8,5.668608e-03,7.179638e-03,1.000000e-02,0.000000e+00,0.000000e+00,197,1.383166e-04,0,0,0,122,24,6.453737e+00,12002
2,3,11,6.130544e-03,7.050551e-03,9.758895e-03,0.000000e+00,0.000000e+00,37,2.823155e-04,0,0,0,4,30,1.873013e+01,10710
3,8,19,2.731942e-03,5.407182e-03,1.038457e-02,0.000000e+00,0.000000e+00,354,1.937426e-05,0,0,0,46,24,1.645374e+01,10833
4,7,26,3.708178e-03,5.720973e-03,1.000000e-02,0.000000e+00,0.000000e+00,45,1.564570e-07,0,0,0,1,30,1.873033e+01,10907
5,7,33,2.923622e-03,5.545150e-03,9.408752e-03,0.000000e+00,0.000000e+00,162,5.920810e-05,0,0,0,25,30,1.623046e+01,10908
6,7,40,2.301101e-03,5.677252e-03,1.007299e-02,0.000000e+00,0.000000e+00,49,8.484037e-05,0,0,0,204,24,1.145374e+01,11379
7,8,48,2.415509e-03,5.544556e-03,8.455170e-03,0.000000e+00,0.000000e+00,64,1.463726e-05,0,0,0,250,16,1.876998e+01,12046
8,7,55,2.653844e-03,4.993808e-03,9.725592e-03,0.000000e+00,0.000000e+00,120,8.570883e-06,0,0,0,59,30,1.123124e+01,14077
9,6,61,2.861354e-03,5.173110e-03,9.725592e-03,0.000000e+00,0.000000e+00,99,1.218460e-04,0,0,0,144,17,1.895374e+01,14866
10,8,69,2.204222e-03,4.089164e-03,1.000000e-02,0.000000e+00,0.000000e+00,267,1.334160e-04,0,0,0,27,30,1.623181e+01,15701
11,9,78,2.035845e-03,4.931485e-03,8.273789e-03,0.000000e+00,0.000000e+00,109,1.610324e-04,0,0,0,4,30,1.873188e+01,16621
12,9,87,1.795234e-03,5.032426e-03,1.042100e-02,0.000000e+00,0.000000e+00,139,5.681870e-04,0,0,0,251,16,1.876998e+01,16267
13,9,96,1.892299e-03,5.012308e-03,9.465130e-03,0.000000e+00,0.000000e+00,96,1.114108e-04,0,0,0,60,24,1.145374e+01,14973
14,6,102,2.628496e-03,5.125000e-03,1.000000e-02,0.000000e+00,0.000000e+00,92,3.612082e-04,0,0,0,175,24,1.895374e+01,15000
15,8,110,2.314691e-03,5.168770e-03,8.648416e-03,0.000000e+00,0.000000e+00,90,1.575414e-04,0,0,0,106,24,6.453737e+00,15171
16,7,117,1.870301e-03,5.357060e-03,9.602553e-03,0.000000e+00,0.000000e+00,65,1.717070e-04,0,0,0,219,16,1.376998e+01,15343
17,8,125,2.268948e-03,5.446503e-03,9.602553e-03,0.000000e+00,0.000000e+00,63,7.267362e-06,0,0,0,27,30,1.623205e+01,15487
18,9,134,1.577556e-03,5.507315e-03,1.000000e-02,0.000000e+00,0.000000e+00,76,4.761201e-07,0,0,0,211,16,1.376998e+01,15690
19,8,142,1.826401e-03,5.654675e-03,9.203419e-03,0.000000e+00,0.000000e+00,64,7.214573e-05,0,0,0,247,16,1.876998e+01,15801
20,8,150,2.360062e-03,5.836193e-03,1.002770e-02,0.000000e+00,0.000000e+00,68,2.761286e-04,0,0,0,251,16,1.876998e+01,15689
21,7,157,1.672114e-03,5.668707e-03,9.900000e-03,0.000000e+00,0.000000e+00,103,6.410611e-05,0,0,0,239,24,1.895374e+01,15640
22,10,167,1.958146e-03,6.032314e-03,1.000000e-02,0.000000e+00,0.000000e+00,59,3.910079e-05,0,0,0,163,17,1.145374e+01,15669
23,7,174,2.365465e-03,5.967665e-03,9.743875e-03,0.000000e+00,0.000000e+00,72,4.024420e-04,0,0,0,48,17,1.895374e+01,15711
24,8,182,1.449208e-03,6.099205e-03,1.060455e-02,0.000000e+00,0.000000e+00,72,3.503283e-04,0,0,0,130,17,1.395374e+01,15654
25,7,189,2.065518e-03,6.031867e-03,1.000000e-02,0.000000e+00,0.000000e+00,80,9.672310e-05,0,0,0,195,17,1.145374e+01,15652
26,8,197,1.969462e-03,6.322858e-03,1.132262e-02,0.000000e+00,0.000000e+00,54,3.850664e-04,0,0,0,195,17,1.145374e+01,15646
27,6,203,1.819058e-03,6.124714e-03,1.000000e-02,0.000000e+00,0.000000e+00,133,4.293639e-04,0,0,0,130,17,1.395374e+01,15609
28,6,209,2.507549e-03,6.433946e-03,1.010648e-02,0.000000e+00,0.000000e+00,48,8.750908e-05,0,0,0,130,17,1.395374e+01,15649
29,6,215,2.599751e-03,6.395304e-03,1.038318e-02,0.000000e+00,0.000000e+00,64,1.435805e-04,0,0,0,165,17,6.453737e+00,15645
30,8,223,1.998262e-03,6.624442e-03,1.094170e-02,0.000000e+00,0.000000e+00,59,5.473663e-06,0,0,0,137,24,3.953737e+00,15619
31,8,231,2.267530e-03,6.491425e-03,1.020317e-02,0.000000e+00,0.000000e+00,87,1.219584e-05,0,0,0,64,17,1.895374e+01,15620
32,7,238,2.405010e-03,6.467583e-03,1.076431e-02,0.000000e+00,0.000000e+00,118,2.200607e-05,0,0,0,230,16,1.626998e+01,15622
33,8,246,1.489564e-03,6.370681e-03,1.049411e-02,0.000000e+00,0.000000e+00,100,7.521149e-05,0,0,0,195,17,1.145374e+01,15628
34,5,251,2.658165e-03,6.754782e-03,1.197900e-02,0.000000e+00,0.000000e+00,49,2.761666e-04,0,0,0,210,17,1.395374e+01,15681
35,7,258,2.147830e-03,6.680150e-03,1.271896e-02,0.000000e+00,0.000000e+00,59,1.084725e-04,0,0,0,48,17,1.895374e+01,15680
36,7,265,2.548539e-03,7.051132e-03,1.126819e-02,0.000000e+00,0.000000e+00,53,7.675154e-05,0,0,0,157,24,1.395374e+01,15681
37,6,271,2.243689e-03,6.835978e-03,1.047830e-02,0.000000e+00,0.000000e+00,77,1.618967e-04,0,0,0,242,16,1.876998e+01,15703
38,7,278,3.091263e-03,6.791471e-03,1.197900e-02,0.000000e+00,0.000000e+00,131,1.764467e-04,0,0,0,92,24,1.145374e+01,15747
39,8,286,2.896376e-03,6.621491e-03,1.025635e-02,0.000000e+00,0.000000e+00,81,4.560926e-05,0,0,0,17,17,1.645374e+01,15782
40,6,292,3.723389e-03,6.971817e-03,1.197900e-02,0.000000e+00,0.000000e+00,60,1.647418e-04,0,0,0,250,16,1.876998e+01,15817
41,7,299,2.761278e-03,6.960941e-03,1.122788e-02,0.000000e+00,0.000000e+00,63,5.509709e-06,0,0,0,66,17,1.395374e+01,15902
42,7,306,3.797372e-03,7.443202e-03,1.354714e-02,0.000000e+00,0.000000e+00,53,9.281852e-07,0,0,0,38,30,1.373066e+01,15944
43,6,312,2.540810e-03,7.036926e-03,1.179573e-02,0.000000e+00,0.000000e+00,117,1.681766e-04,0,0,0,162,17,1.395374e+01,16033
44,7,319,3.168773e-03,7.162516e-03,1.127512e-02,0.000000e+00,0.000000e+00,103,1.844347e-04,0,0,0,166,16,6.269981e+00,16156
45,8,327,3.105629e-03,6.918522e-03,1.026708e-02,0.000000e+00,0.000000e+00,102,5.714084e-06,0,0,0,78,24,1.645374e+01,16299
46,10,337,1.463053e-03,7.158657e-03,1.236889e-02,0.000000e+00,0.000000e+00,71,4.105112e-05,0,0,0,20,30,1.623330e+01,16379
47,6,343,3.325960e-03,7.018002e-03,1.109684e-02,0.000000e+00,0.000000e+00,74,7.503381e-05,0,0,0,20,30,1.623551e+01,16515
48,8,351,2.673096e-03,7.203029e-03,1.095401e-02,0.000000e+00,0.000000e+00,73,8.970149e-05,0,0,0,199,16,1.126998e+01,16668
49,8,359,2.064637e-03,6.792839e-03,1.021312e-02,0.000000e+00,0.000000e+00,142,8.132532e-05,0,0,0,40,30,1.373162e+01,16918
50,7,366,1.868122e-03,6.888603e-03,1.131837e-02,0.000000e+00,0.000000e+00,95,1.419830e-05,0,0,0,99,17,1.145374e+01,17054
51,13,379,1.057842e-03,6.814668e-03,1.113745e-02,0.000000e+00,0.000000e+00,88,1.708131e-05,0,0,0,192,17,1.895374e+01,17318
52,13,392,1.132407e-03,6.971152e-03,1.168271e-02,0.000000e+00,0.000000e+00,77,9.946761e-06,0,0,0,192,17,1.895374e+01,17531
53,12,404,1.028596e-03,6.773585e-03,1.381510e-02,0.000000e+00,0.000000e+00,104,4.162291e-04,0,0,0,39,16,1.373002e+01,17994
54,9,413,1.554536e-03,6.824184e-03,1.150798e-02,0.000000e+00,0.000000e+00,91,3.858471e-06,0,0,0,69,30,8.731639e+00,18363
55,11,424,1.374137e-03,6.395405e-03,1.109598e-02,0.000000e+00,0.000000e+00,154,1.849789e-05,0,0,0,39,16,1.373002e+01,18631
56,12,436,1.547634e-03,6.488573e-03,1.293483e-02,0.000000e+00,0.000000e+00,106,1.069193e-05,0,0,0,39,16,1.373002e+01,18891
57,12,448,1.453514e-03,6.344556e-03,1.196806e-02,0.000000e+00,0.000000e+00,108,8.258353e-05,0,0,0,76,24,1.145374e+01,19127
58,12,460,1.293611e-03,6.494664e-03,1.185538e-02,0.000000e+00,0.000000e+00,105,3.238942e-04,0,0,0,21,30,1.623894e+01,19255
59,10,470,1.444465e-03,6.324846e-03,1.395503e-02,0.000000e+00,0.000000e+00,106,1.608768e-04,0,0,0,216,16,1.376998e+01,19414
60,12,482,1.037394e-03,6.518108e-03,1.442581e-02,0.000000e+00,0.000000e+00,98,3.461941e-04,0,0,0,39,16,1.373002e+01,19774
61,11,493,1.083959e-03,6.114734e-03,1.047872e-02,0.000000e+00,0.000000e+00,154,4.933399e-05,0,0,0,146,17,1.395374e+01,20008
62,10,503,1.313663e-03,6.348594e-03,1.173890e-02,0.000000e+00,0.000000e+00,106,9.585757e-05,0,0,0,61,24,1.395374e+01,20655
63,11,514,1.642939e-03,6.137800e-03,1.323256e-02,0.000000e+00,0.000000e+00,122,7.305383e-04,0,0,0,57,30,1.123260e+01,21178
64,14,528,1.064705e-03,6.079359e-03,1.132640e-02,0.000000e+00,0.000000e+00,124,7.095443e-04,0,0,0,115,17,1.145374e+01,21260
65,14,542,9.340773e-04,5.907128e-03,1.058180e-02,0.000000e+00,0.000000e+00,137,5.203435e-05,0,0,0,189,24,1.395374e+01,21744
66,11,553,1.158677e-03,5.879757e-03,1.354797e-02,0.000000e+00,0.000000e+00,146,4.684696e-05,0,0,0,29,30,1.623384e+01,22053
67,11,564,1.309508e-03,5.783057e-03,1.080805e-02,0.000000e+00,0.000000e+00,139,1.054016e-05,0,0,0,189,24,1.395374e+01,23136
68,13,577,1.086354e-03,5.892549e-03,1.093147e-02,0.000000e+00,0.000000e+00,129,6.933490e-04,0,0,0,89,30,6.236938e+00,23514
69,17,594,7.416963e-04,5.712169e-03,1.307773e-02,0.000000e+00,0.000000e+00,156,7.591087e-04,0,0,0,89,30,6.234920e+00,23700
70,14,608,1.241656e-03,5.995875e-03,1.179655e-02,0.000000e+00,0.000000e+00,106,9.817787e-06,0,0,0,89,30,6.231344e+00,24117
71,11,619,1.224022e-03,5.719238e-03,1.140647e-02,0.000000e+00,0.000000e+00,152,1.784274e-05,0,0,0,161,17,1.645374e+01,24437
72,14,633,1.102246e-03,5.757160e-03,1.007493e-02,0.000000e+00,0.000000e+00,156,6.257604e-07,0,0,0,135,18,2.420111e+00,25100
73,14,647,1.041660e-03,5.548628e-03,1.182342e-02,0.000000e+00,0.000000e+00,152,3.173756e-04,0,0,0,52,16,1.123002e+01,25557
74,13,660,1.216252e-03,5.622558e-03,1.317690e-02,0.000000e+00,0.000000e+00,146,1.701490e-04,0,0,0,112,17,1.895374e+01,26031
75,12,672,1.256413e-03,5.473165e-03,1.000000e-02,0.000000e+00,0.000000e+00,155,1.200193e-05,0,0,0,52,30,1.123191e+01,26414
76,13,685,9.317175e-04,5.625549e-03,1.291520e-02,0.000000e+00,0.000000e+00,145,3.613889e-05,0,0,0,206,24,1.645374e+01,26964
