boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
0,5,5,5.044793e-03,8.976067e-03,1.000000e-02,0.000000e+00,0.000000e+00,1275,1.739531e-04,0,0,0
1,3,8,5.078793e-03,7.191892e-03,1.000000e-02,0.000000e+00,0.000000e+00,1553,1.573637e-04,0,0,0
2,6,14,4.186552e-03,7.061582e-03,1.125445e-02,0.000000e+00,0.000000e+00,309,6.318092e-05,0,0,0
3,8,22,2.523461e-03,5.406357e-03,1.045179e-02,0.000000e+00,0.000000e+00,2861,2.259703e-05,0,0,0
4,7,29,2.914748e-03,5.664151e-03,1.068861e-02,0.000000e+00,0.000000e+00,398,8.047791e-06,0,0,0
5,8,37,1.843885e-03,5.633117e-03,1.000000e-02,0.000000e+00,0.000000e+00,942,7.559359e-05,0,0,0
6,8,45,2.159057e-03,5.657613e-03,1.101672e-02,0.000000e+00,0.000000e+00,580,1.131296e-04,0,0,0
7,7,52,2.120837e-03,5.614168e-03,1.091263e-02,0.000000e+00,0.000000e+00,423,1.766452e-04,0,0,0
8,8,60,1.949908e-03,4.916824e-03,1.032157e-02,0.000000e+00,0.000000e+00,1056,1.519918e-06,0,0,0
9,8,68,1.793821e-03,5.079193e-03,1.000000e-02,0.000000e+00,0.000000e+00,774,3.435940e-05,0,0,0
10,8,76,1.914359e-03,4.111729e-03,1.000000e-02,0.000000e+00,0.000000e+00,2080,6.308407e-05,0,0,0
11,9,85,1.873003e-03,4.761177e-03,8.890600e-03,0.000000e+00,0.000000e+00,979,2.015457e-04,0,0,0
12,9,94,1.579173e-03,4.932229e-03,1.000000e-02,0.000000e+00,0.000000e+00,1073,6.723553e-04,0,0,0
13,12,106,1.332596e-03,4.967637e-03,1.054043e-02,0.000000e+00,0.000000e+00,778,2.941117e-05,0,0,0
14,9,115,1.489868e-03,4.998708e-03,1.000000e-02,0.000000e+00,0.000000e+00,781,1.289323e-04,0,0,0
15,8,123,1.920987e-03,5.070964e-03,1.000000e-02,0.000000e+00,0.000000e+00,705,2.294779e-06,0,0,0
16,9,132,1.528262e-03,5.287331e-03,1.104214e-02,0.000000e+00,0.000000e+00,584,6.407499e-05,0,0,0
17,10,142,1.273033e-03,5.357873e-03,1.026897e-02,0.000000e+00,0.000000e+00,555,3.536120e-04,0,0,0
18,9,151,1.415815e-03,5.533456e-03,1.045357e-02,0.000000e+00,0.000000e+00,533,1.909770e-05,0,0,0
19,8,159,1.818099e-03,5.604631e-03,1.000000e-02,0.000000e+00,0.000000e+00,506,2.811477e-05,0,0,0
20,8,167,1.641292e-03,5.834614e-03,1.092953e-02,0.000000e+00,0.000000e+00,455,2.537183e-04,0,0,0
21,9,176,1.561923e-03,5.844111e-03,1.160471e-02,0.000000e+00,0.000000e+00,529,7.814914e-05,0,0,0
22,10,186,1.576884e-03,6.002486e-03,1.119692e-02,0.000000e+00,0.000000e+00,531,2.814829e-05,0,0,0
23,10,196,1.455709e-03,5.950205e-03,1.366276e-02,0.000000e+00,0.000000e+00,572,3.372692e-05,0,0,0
24,10,206,1.878610e-03,6.130119e-03,1.158858e-02,0.000000e+00,0.000000e+00,540,1.022369e-04,0,0,0
25,8,214,1.662009e-03,6.113152e-03,1.379670e-02,0.000000e+00,0.000000e+00,531,3.893813e-05,0,0,0
26,8,222,1.749193e-03,6.325189e-03,1.205131e-02,0.000000e+00,0.000000e+00,534,1.388605e-04,0,0,0
27,8,230,1.878008e-03,6.253852e-03,1.377210e-02,0.000000e+00,0.000000e+00,596,4.916638e-05,0,0,0
28,8,238,2.163289e-03,6.506275e-03,1.417231e-02,0.000000e+00,0.000000e+00,496,1.010273e-04,0,0,0
29,7,245,1.774888e-03,6.427912e-03,1.242226e-02,0.000000e+00,0.000000e+00,555,1.125059e-04,0,0,0
30,8,253,2.301796e-03,6.686841e-03,1.529362e-02,0.000000e+00,0.000000e+00,484,1.110064e-04,0,0,0
31,8,261,2.262572e-03,6.544678e-03,1.283985e-02,0.000000e+00,0.000000e+00,603,1.581572e-05,0,0,0
32,9,270,1.797317e-03,6.841531e-03,1.817380e-02,0.000000e+00,0.000000e+00,495,6.477498e-04,0,0,0
33,8,278,1.733798e-03,6.721994e-03,1.373890e-02,0.000000e+00,0.000000e+00,598,1.724702e-04,0,0,0
34,8,286,2.072843e-03,7.085922e-03,1.593919e-02,0.000000e+00,0.000000e+00,445,1.347698e-04,0,0,0
35,8,294,1.963255e-03,6.925513e-03,1.332175e-02,0.000000e+00,0.000000e+00,607,1.541525e-05,0,0,0
36,7,301,2.107838e-03,7.254674e-03,1.423149e-02,0.000000e+00,0.000000e+00,440,1.509488e-05,0,0,0
37,8,309,2.124749e-03,7.095087e-03,1.369472e-02,0.000000e+00,0.000000e+00,550,1.320802e-05,0,0,0
38,8,317,2.026419e-03,7.455795e-03,1.424606e-02,0.000000e+00,0.000000e+00,457,1.624636e-04,0,0,0
39,8,325,2.368728e-03,7.182646e-03,1.197900e-02,0.000000e+00,0.000000e+00,690,7.050112e-05,0,0,0
40,8,333,1.930191e-03,7.529209e-03,1.375383e-02,0.000000e+00,0.000000e+00,467,4.543830e-04,0,0,0
41,8,341,2.574739e-03,7.241412e-03,1.296700e-02,0.000000e+00,0.000000e+00,665,1.503527e-05,0,0,0
42,8,349,1.781488e-03,7.602405e-03,1.498146e-02,0.000000e+00,0.000000e+00,501,1.050532e-06,0,0,0
43,8,357,1.878428e-03,7.312038e-03,1.276496e-02,0.000000e+00,0.000000e+00,663,6.948411e-05,0,0,0
44,9,366,1.661841e-03,7.648098e-03,1.378658e-02,0.000000e+00,0.000000e+00,492,3.478583e-05,0,0,0
45,8,374,1.704113e-03,7.284711e-03,1.212146e-02,0.000000e+00,0.000000e+00,736,5.058944e-05,0,0,0
46,9,383,1.875988e-03,7.539374e-03,1.810728e-02,0.000000e+00,0.000000e+00,568,3.478285e-04,0,0,0
47,9,392,1.842240e-03,7.215197e-03,1.365422e-02,0.000000e+00,0.000000e+00,736,2.542138e-05,0,0,0
HIST {'total_samples': 263499, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 48, 'capped_boundaries': 0, 'unfinished_worlds': 0}
48,9,401,1.343841e-03,7.527263e-03,1.409190e-02,0.000000e+00,0.000000e+00,571,1.731366e-04,0,0,0
49,10,411,1.159882e-03,7.160701e-03,1.338255e-02,0.000000e+00,0.000000e+00,740,5.558133e-06,0,0,0
50,12,423,1.365790e-03,7.401678e-03,1.817483e-02,0.000000e+00,0.000000e+00,603,3.871322e-05,0,0,0
51,13,436,9.639189e-04,7.038270e-03,1.386443e-02,0.000000e+00,0.000000e+00,837,3.245482e-04,0,0,0
52,13,449,1.267205e-03,7.233777e-03,1.659934e-02,0.000000e+00,0.000000e+00,682,7.187016e-06,0,0,0
53,12,461,1.035790e-03,6.865949e-03,1.295454e-02,0.000000e+00,0.000000e+00,854,2.295105e-05,0,0,0
54,15,476,1.030962e-03,7.077594e-03,1.438229e-02,0.000000e+00,0.000000e+00,713,2.425909e-05,0,0,0
55,15,491,9.012604e-04,6.690498e-03,1.352543e-02,0.000000e+00,0.000000e+00,945,2.806857e-04,0,0,0
56,15,506,9.700495e-04,6.835015e-03,1.718174e-02,0.000000e+00,0.000000e+00,743,1.664609e-04,0,0,0
57,15,521,1.073774e-03,6.537511e-03,1.447596e-02,0.000000e+00,0.000000e+00,929,3.248565e-04,0,0,0
58,16,537,8.524681e-04,6.809426e-03,1.817483e-02,0.000000e+00,0.000000e+00,779,2.076626e-04,0,0,0
59,20,557,6.907957e-04,6.492820e-03,1.401258e-02,0.000000e+00,0.000000e+00,980,9.328127e-05,0,0,0
60,18,575,5.946086e-04,6.585752e-03,1.706959e-02,0.000000e+00,0.000000e+00,885,4.894733e-04,0,0,0
61,15,590,9.978857e-04,6.326245e-03,1.373943e-02,0.000000e+00,0.000000e+00,965,6.422400e-06,0,0,0
62,18,608,9.245913e-04,6.512339e-03,1.537653e-02,0.000000e+00,0.000000e+00,851,5.639642e-04,0,0,0
63,14,622,8.839883e-04,6.168789e-03,1.464403e-02,0.000000e+00,0.000000e+00,1083,2.461886e-04,0,0,0
64,13,635,8.709700e-04,6.354045e-03,1.511658e-02,0.000000e+00,0.000000e+00,867,5.625952e-04,0,0,0
65,16,651,6.988972e-04,6.046984e-03,1.516831e-02,0.000000e+00,0.000000e+00,1103,4.228354e-04,0,0,0
66,20,671,7.140621e-04,6.099110e-03,1.363117e-02,0.000000e+00,0.000000e+00,983,5.845577e-04,0,0,0
67,19,690,7.338220e-04,5.856590e-03,1.284239e-02,0.000000e+00,0.000000e+00,1120,5.996227e-05,0,0,0
68,15,705,1.071502e-03,5.965327e-03,1.594405e-02,0.000000e+00,0.000000e+00,1011,6.845221e-08,0,0,0
69,17,722,8.864835e-04,5.767216e-03,1.817041e-02,0.000000e+00,0.000000e+00,1154,9.396672e-05,0,0,0
70,18,740,7.555118e-04,5.883557e-03,1.486258e-02,0.000000e+00,0.000000e+00,1057,4.058033e-04,0,0,0
71,16,756,8.089718e-04,5.618093e-03,1.517878e-02,0.000000e+00,0.000000e+00,1260,4.741773e-04,0,0,0
72,17,773,6.351412e-04,5.750478e-03,1.424606e-02,0.000000e+00,0.000000e+00,1066,3.841668e-04,0,0,0
73,16,789,9.387528e-04,5.519429e-03,1.305889e-02,0.000000e+00,0.000000e+00,1259,4.708767e-06,0,0,0
74,17,806,9.103951e-04,5.675676e-03,1.460490e-02,0.000000e+00,0.000000e+00,1053,8.426607e-06,0,0,0
75,18,824,8.685575e-04,5.482395e-03,1.449459e-02,0.000000e+00,0.000000e+00,1229,4.569767e-05,0,0,0
76,19,843,8.532548e-04,5.570849e-03,1.671929e-02,0.000000e+00,0.000000e+00,1217,8.748472e-05,0,0,0
77,15,858,9.254212e-04,5.457546e-03,1.817041e-02,0.000000e+00,0.000000e+00,1214,1.673102e-04,0,0,0
78,19,877,8.103509e-04,5.613354e-03,1.581629e-02,0.000000e+00,0.000000e+00,1148,2.089143e-04,0,0,0
79,15,892,9.693662e-04,5.358737e-03,1.570032e-02,0.000000e+00,0.000000e+00,1373,1.275092e-04,0,0,0
80,24,916,5.258264e-04,5.500826e-03,1.542170e-02,0.000000e+00,0.000000e+00,1182,4.694462e-04,0,0,0
81,26,942,6.048903e-04,5.390442e-03,1.355281e-02,0.000000e+00,0.000000e+00,1272,6.684065e-04,0,0,0
82,21,963,5.883717e-04,5.470390e-03,1.571867e-02,0.000000e+00,0.000000e+00,1194,2.670288e-05,0,0,0
83,21,984,7.884858e-04,5.389696e-03,1.758222e-02,0.000000e+00,0.000000e+00,1260,1.730919e-04,0,0,0
84,21,1005,6.233281e-04,5.500516e-03,1.817041e-02,0.000000e+00,0.000000e+00,1216,3.512199e-04,0,0,0
85,19,1024,7.910817e-04,5.297551e-03,1.608877e-02,0.000000e+00,0.000000e+00,1383,4.271194e-04,0,0,0
86,19,1043,7.690744e-04,5.406370e-03,1.458260e-02,0.000000e+00,0.000000e+00,1264,1.203790e-04,0,0,0
87,21,1064,7.545722e-04,5.237432e-03,1.415010e-02,0.000000e+00,0.000000e+00,1387,3.661215e-05,0,0,0
88,20,1084,6.239367e-04,5.305471e-03,1.734993e-02,0.000000e+00,0.000000e+00,1294,5.389750e-05,0,0,0
89,23,1107,4.991447e-04,5.180500e-03,1.484871e-02,0.000000e+00,0.000000e+00,1433,2.509356e-04,0,0,0
90,20,1127,6.825364e-04,5.307900e-03,1.518391e-02,0.000000e+00,0.000000e+00,1253,1.239777e-05,0,0,0
91,18,1145,6.604876e-04,5.166578e-03,1.252563e-02,0.000000e+00,0.000000e+00,1414,8.916855e-05,0,0,0
92,17,1162,7.921235e-04,5.303238e-03,1.412468e-02,0.000000e+00,0.000000e+00,1249,3.637979e-11,0,0,0
93,21,1183,6.835616e-04,5.167399e-03,1.323695e-02,0.000000e+00,0.000000e+00,1342,4.810840e-05,0,0,0
94,15,1198,7.452507e-04,5.311145e-03,1.436672e-02,0.000000e+00,0.000000e+00,1262,6.639212e-05,0,0,0
95,14,1212,8.875481e-04,5.184117e-03,1.174642e-02,0.000000e+00,0.000000e+00,1403,5.648434e-04,0,0,0
HIST {'total_samples': 592569, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 96, 'capped_boundaries': 0, 'unfinished_worlds': 0}
96,15,1227,8.418186e-04,5.304206e-03,1.508399e-02,0.000000e+00,0.000000e+00,1228,2.738684e-04,0,0,0
97,16,1243,1.008949e-03,5.207316e-03,1.549510e-02,0.000000e+00,0.000000e+00,1309,6.707199e-04,0,0,0
98,19,1262,7.080747e-04,5.363256e-03,1.567667e-02,0.000000e+00,0.000000e+00,1232,4.617050e-04,0,0,0
99,21,1283,6.560066e-04,5.215535e-03,1.232504e-02,0.000000e+00,0.000000e+00,1410,2.955757e-04,0,0,0
100,19,1302,6.913226e-04,5.249741e-03,1.252690e-02,0.000000e+00,0.000000e+00,1338,9.613857e-05,0,0,0
101,17,1319,6.448210e-04,5.129974e-03,1.150510e-02,0.000000e+00,0.000000e+00,1386,1.970381e-04,0,0,0
102,18,1337,8.747880e-04,5.298707e-03,1.213302e-02,0.000000e+00,0.000000e+00,1270,1.031547e-04,0,0,0
103,16,1353,8.477063e-04,5.200398e-03,1.232159e-02,0.000000e+00,0.000000e+00,1390,2.557784e-05,0,0,0
104,19,1372,5.759956e-04,5.265176e-03,1.594405e-02,0.000000e+00,0.000000e+00,1362,2.463162e-05,0,0,0
105,16,1388,8.250063e-04,5.131059e-03,1.437218e-02,0.000000e+00,0.000000e+00,1450,1.635449e-04,0,0,0
106,18,1406,7.298479e-04,5.218791e-03,1.594405e-02,0.000000e+00,0.000000e+00,1335,2.682582e-04,0,0,0
107,20,1426,6.540570e-04,5.108244e-03,1.312227e-02,0.000000e+00,0.000000e+00,1439,5.341602e-20,0,0,0
108,20,1446,6.226784e-04,5.275176e-03,1.569303e-02,0.000000e+00,0.000000e+00,1239,2.815723e-04,0,0,0
109,22,1468,5.679703e-04,5.177150e-03,1.808167e-02,0.000000e+00,0.000000e+00,1408,4.591048e-05,0,0,0
110,16,1484,9.422856e-04,5.256734e-03,1.514986e-02,0.000000e+00,0.000000e+00,1328,2.018213e-04,0,0,0
111,21,1505,7.248600e-04,5.110980e-03,1.325051e-02,0.000000e+00,0.000000e+00,1504,2.650991e-04,0,0,0
112,22,1527,8.067778e-04,5.241054e-03,1.386639e-02,0.000000e+00,0.000000e+00,1311,3.766119e-04,0,0,0
113,19,1546,7.930285e-04,5.133507e-03,1.493253e-02,0.000000e+00,0.000000e+00,1439,3.059208e-05,0,0,0
114,16,1562,7.640470e-04,5.261769e-03,1.449459e-02,0.000000e+00,0.000000e+00,1327,5.824566e-04,0,0,0
115,15,1577,7.725522e-04,5.138577e-03,1.237632e-02,0.000000e+00,0.000000e+00,1484,4.272461e-04,0,0,0
116,14,1591,9.911939e-04,5.226232e-03,1.400670e-02,0.000000e+00,0.000000e+00,1350,1.019686e-04,0,0,0
117,21,1612,8.062607e-04,5.172784e-03,1.540737e-02,0.000000e+00,0.000000e+00,1393,2.240203e-05,0,0,0
118,18,1630,7.955057e-04,5.296032e-03,1.683305e-02,0.000000e+00,0.000000e+00,1341,4.349649e-05,0,0,0
119,14,1644,7.042813e-04,5.169668e-03,1.772799e-02,0.000000e+00,0.000000e+00,1435,4.054308e-04,0,0,0
120,28,1672,6.312467e-04,5.262705e-03,1.582013e-02,0.000000e+00,0.000000e+00,1383,4.915297e-04,0,0,0
121,19,1691,7.654753e-04,5.148282e-03,1.311064e-02,0.000000e+00,0.000000e+00,1489,4.440546e-06,0,0,0
122,17,1708,8.036759e-04,5.252060e-03,1.572775e-02,0.000000e+00,0.000000e+00,1311,1.132339e-04,0,0,0
123,22,1730,7.413427e-04,5.156770e-03,1.390592e-02,0.000000e+00,0.000000e+00,1482,4.768372e-06,0,0,0
124,20,1750,8.342784e-04,5.281406e-03,1.441937e-02,0.000000e+00,0.000000e+00,1350,2.939254e-04,0,0,0
125,15,1765,8.006142e-04,5.164359e-03,1.471972e-02,0.000000e+00,0.000000e+00,1480,1.768550e-04,0,0,0
126,16,1781,8.798403e-04,5.251797e-03,1.485049e-02,0.000000e+00,0.000000e+00,1340,3.463030e-05,0,0,0
127,16,1797,7.064541e-04,5.135323e-03,1.418900e-02,0.000000e+00,0.000000e+00,1514,3.585070e-04,0,0,0
128,15,1812,7.109907e-04,5.254385e-03,1.235268e-02,0.000000e+00,0.000000e+00,1350,6.645918e-06,0,0,0
129,19,1831,8.724704e-04,5.137618e-03,1.100093e-02,0.000000e+00,0.000000e+00,1478,1.673177e-04,0,0,0
