boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
0,5,5,5.250340e-03,9.137711e-03,1.089000e-02,0.000000e+00,0.000000e+00,156,1.641517e-04,0,0,0
1,3,8,4.770271e-03,8.991275e-03,1.025728e-02,0.000000e+00,0.000000e+00,190,1.486791e-04,0,0,0
2,5,13,5.993154e-04,7.617437e-03,9.720833e-03,0.000000e+00,0.000000e+00,206,7.346272e-06,0,0,0
3,8,21,3.916956e-04,5.850060e-03,1.009469e-02,0.000000e+00,0.000000e+00,416,1.469813e-05,0,0,0
4,6,27,5.261041e-05,5.885139e-03,1.200052e-02,0.000000e+00,0.000000e+00,118,9.208918e-06,0,0,0
5,8,35,6.011687e-05,5.966456e-03,1.056944e-02,0.000000e+00,0.000000e+00,151,3.635883e-06,0,0,0
6,8,43,1.520757e-04,6.303531e-03,1.053647e-02,0.000000e+00,0.000000e+00,168,6.426126e-06,0,0,0
7,8,51,2.060551e-05,5.939893e-03,9.945179e-03,0.000000e+00,0.000000e+00,176,9.015203e-06,0,0,0
8,7,58,6.728806e-05,4.737121e-03,8.174256e-03,0.000000e+00,0.000000e+00,200,6.016577e-05,0,0,0
9,8,66,1.326203e-05,4.903899e-03,8.788540e-03,0.000000e+00,0.000000e+00,153,1.907349e-06,0,0,0
10,7,73,3.788527e-04,4.730353e-03,1.000000e-02,0.000000e+00,0.000000e+00,224,1.107454e-04,0,0,0
11,9,82,5.981885e-05,4.756408e-03,9.580575e-03,0.000000e+00,0.000000e+00,119,1.099966e-04,0,0,0
12,10,92,5.078502e-05,4.997837e-03,1.128239e-02,0.000000e+00,0.000000e+00,158,7.729977e-07,0,0,0
13,7,99,3.917608e-05,4.834669e-03,1.052752e-02,0.000000e+00,0.000000e+00,137,7.602549e-05,0,0,0
14,9,108,1.889654e-05,5.170125e-03,1.000000e-02,0.000000e+00,0.000000e+00,112,3.576279e-06,0,0,0
15,10,118,1.469534e-04,5.425820e-03,1.195838e-02,0.000000e+00,0.000000e+00,109,1.880806e-06,0,0,0
16,9,127,3.343448e-05,5.710243e-03,1.148836e-02,0.000000e+00,0.000000e+00,121,6.382167e-05,0,0,0
17,8,135,3.679655e-05,5.751495e-03,1.081914e-02,0.000000e+00,0.000000e+00,120,2.055464e-05,0,0,0
18,8,143,2.556853e-04,6.050405e-03,1.182592e-02,0.000000e+00,0.000000e+00,110,3.004074e-05,0,0,0
19,8,151,1.259381e-04,5.952457e-03,1.105803e-02,0.000000e+00,0.000000e+00,130,1.734495e-05,0,0,0
20,8,159,1.532864e-04,6.475560e-03,1.437028e-02,0.000000e+00,0.000000e+00,114,4.441645e-04,0,0,0
21,9,168,7.977709e-05,6.174602e-03,1.084260e-02,0.000000e+00,0.000000e+00,146,9.604916e-05,0,0,0
22,9,177,1.025852e-04,6.415158e-03,1.239812e-02,0.000000e+00,0.000000e+00,130,2.800189e-04,0,0,0
23,7,184,7.817987e-05,6.336407e-03,1.059653e-02,0.000000e+00,0.000000e+00,139,5.681021e-05,0,0,0
24,7,191,4.594121e-04,6.804706e-03,1.166818e-02,0.000000e+00,0.000000e+00,104,3.954656e-04,0,0,0
