boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
0,5,5,5.250340e-03,9.137712e-03,1.089000e-02,0.000000e+00,0.000000e+00
1,3,8,4.770271e-03,8.991282e-03,1.025696e-02,0.000000e+00,0.000000e+00
2,5,13,5.986728e-04,7.617440e-03,9.720834e-03,0.000000e+00,0.000000e+00
3,8,21,3.916956e-04,5.850345e-03,1.009469e-02,0.000000e+00,0.000000e+00
4,6,27,5.316921e-05,5.881911e-03,1.199953e-02,0.000000e+00,0.000000e+00
5,8,35,6.070361e-05,5.951368e-03,1.056951e-02,0.000000e+00,0.000000e+00
6,8,43,1.524948e-04,6.304285e-03,1.053639e-02,0.000000e+00,0.000000e+00
7,8,51,2.115965e-05,5.940405e-03,9.945141e-03,0.000000e+00,0.000000e+00
8,7,58,6.734394e-05,4.728135e-03,8.174256e-03,0.000000e+00,0.000000e+00
9,8,66,1.310371e-05,4.874991e-03,8.766979e-03,0.000000e+00,0.000000e+00
10,7,73,3.827643e-04,4.691943e-03,1.000000e-02,0.000000e+00,0.000000e+00
11,9,82,1.364108e-04,4.641360e-03,9.919781e-03,0.000000e+00,0.000000e+00
12,12,94,8.530915e-06,4.880107e-03,1.128462e-02,0.000000e+00,0.000000e+00
13,8,102,1.164386e-04,4.949561e-03,1.052752e-02,0.000000e+00,0.000000e+00
14,7,109,6.100163e-05,5.218070e-03,1.234769e-02,0.000000e+00,0.000000e+00
15,8,117,1.391862e-05,5.210059e-03,1.103263e-02,0.000000e+00,0.000000e+00
16,9,126,9.217300e-05,5.669799e-03,1.119890e-02,0.000000e+00,0.000000e+00
17,7,133,3.713649e-05,5.817033e-03,1.081784e-02,0.000000e+00,0.000000e+00
18,8,141,1.688628e-04,6.010954e-03,1.182697e-02,0.000000e+00,0.000000e+00
19,8,149,1.621433e-05,5.889134e-03,1.065435e-02,0.000000e+00,0.000000e+00
20,8,157,1.916476e-04,6.357950e-03,1.030069e-02,0.000000e+00,0.000000e+00
21,7,164,8.431729e-05,6.237605e-03,1.279465e-02,0.000000e+00,0.000000e+00
22,9,173,5.643815e-05,6.367243e-03,1.234400e-02,0.000000e+00,0.000000e+00
23,7,180,2.464699e-04,6.539071e-03,1.059755e-02,0.000000e+00,0.000000e+00
24,8,188,1.426879e-04,6.659952e-03,1.187779e-02,0.000000e+00,0.000000e+00
25,8,196,1.237588e-04,6.449997e-03,1.043629e-02,0.000000e+00,0.000000e+00
26,8,204,2.717599e-05,6.740016e-03,1.373659e-02,0.000000e+00,0.000000e+00
27,6,210,5.251355e-04,6.777680e-03,1.394474e-02,0.000000e+00,0.000000e+00
28,6,216,1.274236e-04,7.076126e-03,1.225934e-02,0.000000e+00,0.000000e+00
29,7,223,8.324906e-04,7.189101e-03,1.213927e-02,0.000000e+00,0.000000e+00
30,7,230,5.537085e-04,7.194820e-03,1.205652e-02,0.000000e+00,0.000000e+00
31,8,238,1.225853e-04,7.137728e-03,1.225381e-02,0.000000e+00,0.000000e+00
32,6,244,5.477574e-05,7.212709e-03,1.400296e-02,0.000000e+00,0.000000e+00
33,7,251,1.509674e-05,7.032819e-03,1.373288e-02,0.000000e+00,0.000000e+00
34,7,258,2.852315e-04,7.386833e-03,1.326010e-02,0.000000e+00,0.000000e+00
35,6,264,1.105336e-03,7.111490e-03,1.257427e-02,0.000000e+00,0.000000e+00
36,7,271,1.583109e-04,7.672570e-03,1.394534e-02,0.000000e+00,0.000000e+00
37,6,277,7.368857e-04,7.350719e-03,1.054820e-02,0.000000e+00,0.000000e+00
38,7,284,3.360119e-04,7.424127e-03,1.348566e-02,0.000000e+00,0.000000e+00
39,8,292,5.656853e-04,7.203165e-03,1.104621e-02,0.000000e+00,0.000000e+00
40,6,298,1.476426e-03,7.918535e-03,1.302877e-02,0.000000e+00,0.000000e+00
41,7,305,1.643412e-04,7.444161e-03,1.358854e-02,0.000000e+00,0.000000e+00
42,7,312,2.529938e-05,7.786430e-03,1.472558e-02,0.000000e+00,0.000000e+00
43,7,319,7.535098e-04,7.472529e-03,1.307245e-02,0.000000e+00,0.000000e+00
44,5,324,7.525086e-05,7.877667e-03,1.366417e-02,0.000000e+00,0.000000e+00
45,9,333,3.660889e-04,7.434478e-03,1.143888e-02,0.000000e+00,0.000000e+00
46,8,341,4.481291e-04,7.818714e-03,1.474521e-02,0.000000e+00,0.000000e+00
47,8,349,7.680105e-04,7.602980e-03,1.163362e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 35686, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 48, 'capped_boundaries': 0, 'unfinished_worlds': 0}
48,8,357,2.818462e-04,7.661680e-03,1.288301e-02,0.000000e+00,0.000000e+00
49,8,365,4.383083e-04,7.357705e-03,1.197333e-02,0.000000e+00,0.000000e+00
50,13,378,1.180032e-04,7.559299e-03,1.216612e-02,0.000000e+00,0.000000e+00
51,9,387,7.786229e-04,7.098675e-03,1.191355e-02,0.000000e+00,0.000000e+00
52,15,402,4.842598e-04,7.443464e-03,1.496385e-02,0.000000e+00,0.000000e+00
53,12,414,7.938594e-05,7.002368e-03,1.105444e-02,0.000000e+00,0.000000e+00
54,12,426,4.698848e-04,7.169792e-03,1.694632e-02,0.000000e+00,0.000000e+00
55,12,438,3.410969e-05,6.907993e-03,1.446056e-02,0.000000e+00,0.000000e+00
56,12,450,1.519918e-05,7.225453e-03,1.301237e-02,0.000000e+00,0.000000e+00
57,11,461,8.106325e-04,7.005184e-03,1.102412e-02,0.000000e+00,0.000000e+00
58,9,470,7.065944e-05,6.661476e-03,1.221029e-02,0.000000e+00,0.000000e+00
59,12,482,3.119931e-06,6.686435e-03,1.357623e-02,0.000000e+00,0.000000e+00
60,13,495,1.335191e-04,6.786484e-03,1.459163e-02,0.000000e+00,0.000000e+00
61,14,509,2.473406e-04,6.465781e-03,1.313726e-02,0.000000e+00,0.000000e+00
62,14,523,1.341477e-04,6.451511e-03,1.127400e-02,0.000000e+00,0.000000e+00
63,15,538,1.206063e-06,6.241781e-03,1.353211e-02,0.000000e+00,0.000000e+00
64,12,550,5.202414e-04,6.337075e-03,1.429417e-02,0.000000e+00,0.000000e+00
65,13,563,1.157587e-04,6.226026e-03,1.231109e-02,0.000000e+00,0.000000e+00
66,12,575,2.296176e-05,6.355228e-03,1.293667e-02,0.000000e+00,0.000000e+00
67,18,593,2.402347e-05,6.253552e-03,1.401138e-02,0.000000e+00,0.000000e+00
68,14,607,3.517978e-04,6.509708e-03,1.265990e-02,0.000000e+00,0.000000e+00
69,12,619,4.283525e-04,6.079647e-03,1.297996e-02,0.000000e+00,0.000000e+00
70,12,631,3.518909e-04,6.308079e-03,1.630090e-02,0.000000e+00,0.000000e+00
71,12,643,1.440197e-04,5.852429e-03,1.223192e-02,0.000000e+00,0.000000e+00
72,13,656,1.798850e-05,6.397173e-03,1.571029e-02,0.000000e+00,0.000000e+00
73,13,669,3.510155e-05,5.945478e-03,1.817925e-02,0.000000e+00,0.000000e+00
74,11,680,1.194328e-04,6.080118e-03,1.263697e-02,0.000000e+00,0.000000e+00
75,12,692,1.484528e-04,5.746080e-03,1.443042e-02,0.000000e+00,0.000000e+00
76,14,706,2.747867e-05,5.985384e-03,1.317576e-02,0.000000e+00,0.000000e+00
77,11,717,8.645002e-05,5.643694e-03,1.345870e-02,0.000000e+00,0.000000e+00
78,14,731,1.068367e-04,5.784201e-03,1.244923e-02,0.000000e+00,0.000000e+00
79,15,746,5.111843e-04,5.765258e-03,1.284452e-02,0.000000e+00,0.000000e+00
80,13,759,7.851049e-06,5.846124e-03,1.371366e-02,0.000000e+00,0.000000e+00
81,12,771,1.142127e-04,5.917571e-03,1.292777e-02,0.000000e+00,0.000000e+00
82,12,783,6.345101e-05,6.028458e-03,1.387052e-02,0.000000e+00,0.000000e+00
83,11,794,4.050322e-05,5.549877e-03,1.284716e-02,0.000000e+00,0.000000e+00
84,15,809,5.510636e-05,5.518911e-03,1.380059e-02,0.000000e+00,0.000000e+00
85,15,824,6.684009e-04,5.510838e-03,1.343319e-02,0.000000e+00,0.000000e+00
86,19,843,8.419622e-05,5.877899e-03,1.493824e-02,0.000000e+00,0.000000e+00
87,16,859,5.370006e-05,5.448673e-03,1.286171e-02,0.000000e+00,0.000000e+00
88,18,877,1.310697e-04,5.719202e-03,1.322749e-02,0.000000e+00,0.000000e+00
89,14,891,2.485234e-04,5.239024e-03,1.236598e-02,0.000000e+00,0.000000e+00
90,14,905,5.997717e-06,5.518893e-03,1.369231e-02,0.000000e+00,0.000000e+00
91,13,918,9.062234e-05,5.450296e-03,1.248158e-02,0.000000e+00,0.000000e+00
92,23,941,1.480803e-06,5.445475e-03,1.399489e-02,0.000000e+00,0.000000e+00
93,19,960,1.190370e-04,5.302780e-03,1.183072e-02,0.000000e+00,0.000000e+00
94,12,972,1.983810e-04,5.483422e-03,1.198230e-02,0.000000e+00,0.000000e+00
95,14,986,2.490357e-05,5.404066e-03,1.066541e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 78025, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 96, 'capped_boundaries': 0, 'unfinished_worlds': 0}
96,13,999,1.769513e-06,5.540165e-03,1.388094e-02,0.000000e+00,0.000000e+00
97,12,1011,2.230518e-06,5.358982e-03,1.353398e-02,0.000000e+00,0.000000e+00
98,11,1022,2.563465e-05,5.767528e-03,1.308862e-02,0.000000e+00,0.000000e+00
99,17,1039,3.353693e-05,5.359941e-03,1.131454e-02,0.000000e+00,0.000000e+00
100,12,1051,3.876910e-04,5.694034e-03,1.565354e-02,0.000000e+00,0.000000e+00
101,15,1066,1.495471e-04,5.427568e-03,1.514492e-02,0.000000e+00,0.000000e+00
102,15,1081,1.618639e-05,5.819247e-03,1.362161e-02,0.000000e+00,0.000000e+00
103,13,1094,5.748542e-04,5.493116e-03,1.327194e-02,0.000000e+00,0.000000e+00
104,19,1113,3.277464e-04,5.579905e-03,1.343310e-02,0.000000e+00,0.000000e+00
105,22,1135,8.945353e-06,5.428494e-03,1.175708e-02,0.000000e+00,0.000000e+00
106,16,1151,2.367841e-04,5.654602e-03,1.520634e-02,0.000000e+00,0.000000e+00
107,13,1164,1.569279e-06,5.365962e-03,1.592498e-02,0.000000e+00,0.000000e+00
108,16,1180,9.363517e-05,5.612600e-03,1.262680e-02,0.000000e+00,0.000000e+00
109,11,1191,2.603978e-05,5.389388e-03,1.123779e-02,0.000000e+00,0.000000e+00
110,13,1204,1.349021e-05,5.599025e-03,1.385382e-02,0.000000e+00,0.000000e+00
111,17,1221,9.949319e-05,5.427613e-03,1.238191e-02,0.000000e+00,0.000000e+00
112,16,1237,8.343253e-05,5.249935e-03,1.497374e-02,0.000000e+00,0.000000e+00
113,14,1251,2.836948e-04,5.171248e-03,1.443484e-02,0.000000e+00,0.000000e+00
114,14,1265,1.227483e-05,5.319875e-03,1.632990e-02,0.000000e+00,0.000000e+00
115,16,1281,1.106877e-04,5.407538e-03,1.266770e-02,0.000000e+00,0.000000e+00
116,14,1295,1.111533e-05,5.404379e-03,1.344684e-02,0.000000e+00,0.000000e+00
117,19,1314,7.796101e-05,4.997138e-03,1.218553e-02,0.000000e+00,0.000000e+00
118,20,1334,7.078052e-06,5.326541e-03,1.108114e-02,0.000000e+00,0.000000e+00
119,14,1348,3.288547e-04,5.257468e-03,1.248301e-02,0.000000e+00,0.000000e+00
120,19,1367,5.116547e-04,5.319787e-03,1.325640e-02,0.000000e+00,0.000000e+00
121,17,1384,1.230789e-04,5.188874e-03,1.301755e-02,0.000000e+00,0.000000e+00
122,14,1398,8.204486e-05,4.929032e-03,1.067476e-02,0.000000e+00,0.000000e+00
123,14,1412,1.632050e-04,5.036219e-03,1.197900e-02,0.000000e+00,0.000000e+00
124,15,1427,3.186055e-04,5.465508e-03,1.337944e-02,0.000000e+00,0.000000e+00
125,13,1440,2.548937e-04,5.210449e-03,1.100427e-02,0.000000e+00,0.000000e+00
126,11,1451,8.079223e-06,5.351716e-03,1.304948e-02,0.000000e+00,0.000000e+00
127,14,1465,8.506700e-05,5.332203e-03,1.274966e-02,0.000000e+00,0.000000e+00
128,13,1478,3.217719e-06,5.641525e-03,1.382813e-02,0.000000e+00,0.000000e+00
129,12,1490,9.974465e-06,5.473789e-03,1.117594e-02,0.000000e+00,0.000000e+00
130,12,1502,1.865206e-04,5.544947e-03,1.344417e-02,0.000000e+00,0.000000e+00
