arm,dt_s,accuracy,kp,kd,k,slide_speed,n_worlds,unstable,wall_s_per_sim_s,exhausted_frac,pen_box_mean_over_static,pen_box_max_m,pen_tip_mean_over_static,pen_tip_max_m,chatter_vz_rms_m_s,box_lift_max_m,box_pitch_rate_rms,tip_over_box_frac,rel_vx_rms_m_s,track_rms_m,box_displacement_m,box_displacement_commanded_m
icf,0.01,,100.0,6.324555320336759,100000.0,0.3,1,False,0.058028936498509404,0.0,1.0000916719436646,2.5656074285507202e-05,0.7417591214179993,8.03917646408081e-05,1.6980841337499442e-06,-2.4393200874328613e-05,0.0023872076999396086,0.0,0.000128272469737567,0.07460976392030716,0.23485486209392548,0.27999999999999997
icf,0.005,,100.0,6.324555320336759,100000.0,0.3,1,False,0.07510520003992936,0.0,1.000262975692749,2.689659595489502e-05,0.7413211464881897,0.00014832615852355957,3.2524480957363266e-06,-2.4441629648208618e-05,0.001153613906353712,0.0,0.00014402142551261932,0.0739426463842392,0.23522110283374786,0.27999999999999997
icf,0.002,,100.0,6.324555320336759,100000.0,0.3,1,False,0.12041932309110617,0.0,1.0001612901687622,2.5372952222824097e-05,0.7366354465484619,0.00014083832502365112,1.0473094334884081e-05,-2.4475157260894775e-05,0.005915935151278973,0.0,0.00023679200967308134,0.07351953536272049,0.23545397818088531,0.27999999999999997
icf,0.001,,100.0,6.324555320336759,100000.0,0.3,1,False,0.190364265220304,0.0,0.9998956918716431,2.5037676095962524e-05,0.7346684336662292,0.00012978911399841309,2.9341612389544025e-05,-2.4404376745224e-05,0.009477067738771439,0.0,0.00032113154884427786,0.07338850945234299,0.23551343381404877,0.27999999999999997
icf-adaptive,,0.1,100.0,6.324555320336759,100000.0,0.3,1,False,0.10091762789043374,0.0,1.0000733137130737,2.5622546672821045e-05,0.7408488988876343,0.0001485981047153473,1.9689944110723445e-06,-2.444535493850708e-05,0.0017186143668368459,0.0,0.0001428786345059052,0.0739334225654602,0.2352258414030075,0.27999999999999997
icf-adaptive,,0.01,100.0,6.324555320336759,100000.0,0.3,1,False,0.1048910055020503,0.0,1.0000602006912231,2.5622546672821045e-05,0.7408696413040161,0.00014878064393997192,1.9034728211408947e-06,-2.444535493850708e-05,0.0017647150671109557,0.0,0.00014291245315689594,0.07393424212932587,0.23522482812404633,0.27999999999999997
icf-adaptive,,0.001,100.0,6.324555320336759,100000.0,0.3,1,False,0.10395711833803818,0.0,1.000058650970459,2.5622546672821045e-05,0.7408236265182495,0.0001481957733631134,1.8453532675266615e-06,-2.444535493850708e-05,0.0017654715338721871,0.0,0.0001428075775038451,0.07393400371074677,0.2352258712053299,0.27999999999999997
icf-adaptive,,0.0001,100.0,6.324555320336759,100000.0,0.3,1,False,0.10928032823420804,0.0,1.0001341104507446,2.5622546672821045e-05,0.7401362657546997,0.00014732405543327332,2.0489453618210973e-06,-2.4411827325820923e-05,0.004070034250617027,0.0,0.00014252704568207264,0.07389385253190994,0.23527684807777405,0.27999999999999997
mujoco,0.01,,100.0,6.324555320336759,100000.0,0.3,1,False,0.10765361101848299,0.0,5.551767826080322,0.0013031363487243652,5.834262371063232,0.009279221296310425,0.09432553499937057,0.020410064607858658,1.4493194818496704,0.0,0.025691311806440353,0.10156384110450745,0.2469405084848404,0.27999999999999997
mujoco,0.005,,100.0,6.324555320336759,100000.0,0.3,1,False,0.12717605343666571,0.0,1.461381196975708,0.0010066553950309753,3.047321319580078,0.009443417191505432,0.10466182976961136,0.0207049660384655,2.8927125930786133,0.05,0.011982748284935951,0.09997295588254929,0.20829279720783234,0.27999999999999997
