scene,arm,dt_s,accuracy,ref_dt_s,piece_s,n_worlds,dev_mean_m,dev_max_m,pieces,wall_s_per_sim_s
hard-clutter,icf,0.01,,0.0001,0.1,8,0.020435568522952963,0.15533490478992462,20,0.26560978032648563
hard-clutter,icf,0.005,,0.0001,0.1,8,0.015405753153027035,0.10655492544174194,20,0.4746502754278481
hard-clutter,icf,0.002,,0.0001,0.1,8,0.011336400321670225,0.12312361598014832,20,1.006274523679167
hard-clutter,icf,0.001,,0.0001,0.1,8,0.0046036997093324315,0.02629261277616024,20,1.90319140907377
hard-clutter,icf,0.0005,,0.0001,0.1,8,0.002705845922901062,0.019910987466573715,20,3.4858732705470175
hard-clutter,icf,0.0001,,0.0001,0.1,8,0.0006150550063125593,0.008445019833743572,20,12.36791236908175
hard-clutter,mujoco,0.01,,0.0001,0.1,8,0.00830699848011136,0.0392707996070385,20,0.10113846510648727
hard-clutter,mujoco,0.005,,0.0001,0.1,8,0.005759412318002433,0.0388275571167469,20,0.1942788902670145
hard-clutter,mujoco,0.002,,0.0001,0.1,8,0.0032806536735733973,0.01485926378518343,20,0.45434422441758215
hard-clutter,mujoco,0.001,,0.0001,0.1,8,0.0022730710239557083,0.016788432374596596,20,0.8889151259791106
hard-clutter,mujoco,0.0005,,0.0001,0.1,8,0.0011998604284599423,0.012476601637899876,20,1.7514314595609903
hard-clutter,mujoco,0.0001,,0.0001,0.1,8,0.00028077051238142305,0.003898357506841421,20,7.83651033998467
hard-clutter,icf-adaptive,,0.1,0.0001,0.1,8,0.013081518857507034,0.05400042608380318,20,0.8093301649205387
hard-clutter,icf-adaptive,,0.01,0.0001,0.1,8,0.010017177235567942,0.03955952823162079,20,1.0737219837028533
hard-clutter,icf-adaptive,,0.001,0.0001,0.1,8,0.005620687620103126,0.018693475052714348,20,2.636923814425245
hard-clutter,icf-adaptive,,0.0001,0.0001,0.1,8,0.0016456627447041683,0.009311085566878319,20,4.257640634896234
hard-clutter,icf-adaptive,,1e-05,0.0001,0.1,8,0.0011420339049436734,0.010092026554048061,20,9.058392948936671
hard-clutter,mujoco-adaptive,,0.1,0.0001,0.1,8,0.0062077254056930545,0.04162660241127014,20,0.30425920500420034
hard-clutter,mujoco-adaptive,,0.01,0.0001,0.1,8,0.004539570095948875,0.014514383859932423,20,0.49202399095520377
hard-clutter,mujoco-adaptive,,0.001,0.0001,0.1,8,0.0024526654990040695,0.012619051150977612,20,1.4437571447342634
hard-clutter,mujoco-adaptive,,0.0001,0.0001,0.1,8,0.0008851491984387394,0.00879844930022955,20,3.4566591039765626
hard-clutter,mujoco-adaptive,,1e-05,0.0001,0.1,8,0.0009239111202077766,0.010777926072478294,20,6.331556416116655
