scene,arm,dt_s,accuracy,ref_dt_s,piece_s,n_worlds,dev_mean_m,dev_max_m,pieces,wall_s_per_sim_s
soft-clutter,icf,0.01,,0.0001,0.1,8,0.003659924946259707,0.03298415243625641,20,0.17285585985518992
soft-clutter,icf,0.005,,0.0001,0.1,8,0.0018866134676500223,0.017366725951433182,20,0.2647566853556782
soft-clutter,icf,0.002,,0.0001,0.1,8,0.0007290628267583088,0.006479528732597828,20,0.5760699044913054
soft-clutter,icf,0.001,,0.0001,0.1,8,0.00028739662457155646,0.0018693950260058045,20,0.9950426546856761
soft-clutter,icf,0.0005,,0.0001,0.1,8,0.0001171621261164546,0.000825156515929848,20,1.8531428545247763
soft-clutter,icf,0.0001,,0.0001,0.1,8,1.0582222143051822e-05,0.00019950928981415927,20,7.155240174615756
soft-clutter,mujoco,0.01,,0.0001,0.1,8,0.0023633824746411847,0.019745606929063797,20,0.04682184895500541
soft-clutter,mujoco,0.005,,0.0001,0.1,8,0.0010692267977447044,0.008638282306492329,20,0.09166180389001966
soft-clutter,mujoco,0.002,,0.0001,0.1,8,0.0003479541336218972,0.003485678695142269,20,0.22737993160262704
soft-clutter,mujoco,0.001,,0.0001,0.1,8,0.00015037042369385744,0.0014133753720670938,20,0.4192671808414161
soft-clutter,mujoco,0.0005,,0.0001,0.1,8,7.692931624205812e-05,0.0008133266237564385,20,0.8350441337097436
soft-clutter,mujoco,0.0001,,0.0001,0.1,8,2.3098935670873287e-07,9.275972843170166e-07,20,3.0807917308993638
soft-clutter,icf-adaptive,,0.1,0.0001,0.1,8,0.0018387165957392427,0.015484877862036228,20,0.34281936124898493
soft-clutter,icf-adaptive,,0.01,0.0001,0.1,8,0.0012090334352251376,0.012196307070553303,20,0.4071372398175299
soft-clutter,icf-adaptive,,0.001,0.0001,0.1,8,0.00039064052816684125,0.0014721507905051112,20,0.45198410050943494
soft-clutter,icf-adaptive,,0.0001,0.0001,0.1,8,0.00013669961263076402,0.00039681309135630727,20,1.3766892242711037
soft-clutter,icf-adaptive,,1e-05,0.0001,0.1,8,4.129868470954534e-05,0.00010430321708554402,20,3.1640340108424425
soft-clutter,mujoco-adaptive,,0.1,0.0001,0.1,8,0.001054302894135617,0.008638286963105202,20,0.14660727116279304
soft-clutter,mujoco-adaptive,,0.01,0.0001,0.1,8,0.0006233517975942959,0.005332625936716795,20,0.14583415118977427
soft-clutter,mujoco-adaptive,,0.001,0.0001,0.1,8,0.0001844853893317122,0.0013456791639328003,20,0.275164064951241
soft-clutter,mujoco-adaptive,,0.0001,0.0001,0.1,8,9.616528800506785e-05,0.0005340547650121152,20,0.5367951805237681
soft-clutter,mujoco-adaptive,,1e-05,0.0001,0.1,8,4.481220701109123e-05,0.0001597542577655986,20,1.1579755693674088
