backend,n_sub,dt,cauchy_sphere_m,cauchy_box_m,box_stop_err_m
icf,1,0.01,0.0,0.0025082528591156006,0.05421838164329529
icf,2,0.005,0.0,0.001254647970199585,0.05672663450241089
icf,4,0.0025,1.4901161193847656e-08,0.0006267428398132324,0.057981282472610474
icf,8,0.00125,1.1175870895385742e-08,0.0003165006637573242,0.058608025312423706
icf,16,0.000625,1.564621925354004e-07,0.00016492605209350586,0.05892452597618103
icf,32,0.0003125,1.043081283569336e-07,8.431077003479004e-05,0.05908939242362976
mujoco,1,0.01,0.0001369975507259369,0.006510540843009949,0.1238831877708435
mujoco,2,0.005,1.9480305013530597e-07,0.0013821572065353394,0.11737264692783356
mujoco,4,0.0025,8.620733638053935e-08,0.003424346446990967,0.1187548041343689
mujoco,8,0.00125,4.2693059754128626e-08,0.0008019953966140747,0.11533045768737793
mujoco,16,0.000625,3.3527612686157227e-08,0.00015205144882202148,0.11452846229076385
mujoco,32,0.0003125,6.705522537231445e-08,0.00016020238399505615,0.11468051373958588
