arm,knob,wall_ms_per_boundary,pen_mean_m,pen_max_m,pen_p95_m
mujoco,1,0.9502,0.00048606598284095526,0.04873507842421532,0.0013454785803332925
mujoco,2,1.8871,0.0003482569882180542,0.03026297315955162,0.0010494841262698174
mujoco,4,3.9035,0.00038767216028645635,0.027633193880319595,0.001191833638586104
mujoco,8,7.2707,0.00041358370799571276,0.02877814881503582,0.0012846302706748247
mujoco,16,13.4081,0.0004274292732588947,0.028270304203033447,0.0013548781862482429
mujoco-adaptive,0.01,7.3489,0.0003881145967170596,0.03677672520279884,0.0011083312565460801
mujoco-adaptive,0.001,17.4831,0.0004223606374580413,0.030562153086066246,0.0012730818707495928
mujoco-adaptive,0.0001,33.7016,0.00043651825399138033,0.028711983934044838,0.0013805048074573278
icf,1,3.5198,1.5866844478296116e-05,0.04617302492260933,0.0
icf,2,5.3215,7.421476766467094e-08,0.00350271537899971,0.0
icf,4,8.7036,1.456485043682676e-09,0.00031019002199172974,0.0
icf,8,15.1069,3.926155400790776e-09,0.0003671310842037201,0.0
icf,16,25.3256,2.2012196509990645e-09,0.0004037618637084961,0.0
icf-adaptive,0.01,14.8756,0.0,0.0,0.0
icf-adaptive,0.001,31.1497,0.0,0.0,0.0
icf-adaptive,0.0001,60.6435,0.0,0.0,0.0
