scene,arm,accuracy,dt_s,dt_outer_s,margin_m,max_substeps,n_worlds,wall_ms_per_boundary,exhausted_frac,pen_mean_m,pen_max_m,pen_p95_m,out_of_bin_frac,eject_through_wall_frac,eject_over_rim_frac,eject_spheres_frac,eject_cubes_frac,status
hard-clutter,mujoco,,0.01,0.1,0.0,,64,13.6569,0.0,0.0008829958969727159,0.010897406376898289,0.0020583439618349075,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco,,0.005,0.1,0.0,,64,20.3698,0.0,0.0003273286565672606,0.004096057265996933,0.000638791243545711,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco,,0.002,0.1,0.0,,64,52.9264,0.0,0.0003505033382680267,0.003952657803893089,0.0007991380989551544,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco,,0.001,0.1,0.0,,64,127.2148,0.0,0.00035607823519967496,0.0038519538938999176,0.0008628378855064511,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco-adaptive,0.1,,0.1,0.0,4096,64,28.1107,0.0,0.00205732393078506,0.012005636468529701,0.0048848348669707775,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco-adaptive,0.01,,0.1,0.0,4096,64,75.0231,0.0,0.0005160238360986114,0.009777713567018509,0.0011370819993317127,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco-adaptive,0.001,,0.1,0.0,4096,64,265.5796,0.0,0.0003785195294767618,0.004229389131069183,0.0009783697314560413,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco-adaptive,0.0001,,0.1,0.0,4096,64,848.3029,0.0,0.00036905676824972034,0.004765583202242851,0.000977786141447723,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf,,0.01,0.1,0.0,,64,102.6979,0.0,0.0002499994297977537,0.028269018977880478,0.0004878144827671349,0.0140625,0.0125,0.0015625,0.0015625,0.0265625,ok
hard-clutter,icf,,0.005,0.1,0.0,,64,151.4637,0.0,3.585778540582396e-05,0.011448077857494354,7.870318222558126e-05,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf,,0.002,0.1,0.0,,64,266.6593,0.0,8.469741260341834e-06,0.0035892054438591003,1.6275978850899264e-05,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf,,0.001,0.1,0.0,,64,415.7438,0.0,6.566961474163691e-06,0.0011051446199417114,1.6175490600289777e-05,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf-adaptive,0.1,,0.1,0.0,4096,64,165.9672,0.0,3.1386149203171954e-05,0.005486605688929558,0.00010887849930441007,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf-adaptive,0.01,,0.1,0.0,4096,64,195.4449,0.0,7.2829648161132354e-06,0.0010809917002916336,1.6819871234474704e-05,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf-adaptive,0.001,,0.1,0.0,4096,64,355.0097,0.0,6.153569756861543e-06,0.00030152127146720886,1.5700887161074206e-05,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf-adaptive,0.0001,,0.1,0.0,4096,64,720.0572,0.0,6.139278866612585e-06,0.00028271228075027466,1.524016261100769e-05,0.0,0.0,0.0,0.0,0.0,ok
