scene,arm,accuracy,dt_s,dt_outer_s,margin_m,max_substeps,n_worlds,wall_ms_per_boundary,exhausted_frac,pen_mean_m,pen_max_m,pen_p95_m,out_of_bin_frac,eject_through_wall_frac,eject_over_rim_frac,eject_spheres_frac,eject_cubes_frac,status
hard-clutter,mujoco,,0.01,0.1,0.005,,64,10.1463,0.0,0.0003850857901852578,0.013403035700321198,0.000963983591645956,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco,,0.005,0.1,0.005,,64,21.888,0.0,0.00011501488188514486,0.00278439000248909,0.0002312641590833664,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco,,0.002,0.1,0.005,,64,56.9372,0.0,2.1535564883379266e-05,0.0015302952378988266,4.298621934140101e-05,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco,,0.001,0.1,0.005,,64,119.3709,0.0,7.827257832104806e-06,0.0007519125938415527,9.329896784038283e-06,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco-adaptive,0.1,,0.1,0.005,4096,64,23.5953,0.0,0.000502679671626538,0.010055635124444962,0.0012268096907064319,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco-adaptive,0.01,,0.1,0.005,4096,64,60.8238,0.0,0.00012184111255919561,0.0022284500300884247,0.0003778189420700073,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco-adaptive,0.001,,0.1,0.005,4096,64,227.1035,0.0,1.9841081666527316e-05,0.0016053151339292526,5.1783397793769836e-05,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,mujoco-adaptive,0.0001,,0.1,0.005,4096,64,724.072,0.0,7.448217729688622e-06,0.0012795999646186829,1.0878034117922653e-05,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf,,0.01,0.1,0.005,,64,93.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf,,0.005,0.1,0.005,,64,174.0678,0.0,1.478166069546205e-07,0.0019482895731925964,0.0,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf,,0.002,0.1,0.005,,64,306.6306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf,,0.001,0.1,0.005,,64,528.2373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf-adaptive,0.1,,0.1,0.005,4096,64,210.6517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf-adaptive,0.01,,0.1,0.005,4096,64,301.1775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf-adaptive,0.001,,0.1,0.005,4096,64,450.5435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
hard-clutter,icf-adaptive,0.0001,,0.1,0.005,4096,64,887.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
