scene,arm,accuracy,dt_s,dt_outer_s,margin_m,max_substeps,n_worlds,wall_ms_per_boundary,exhausted_frac,pen_mean_m,pen_max_m,pen_p95_m,out_of_bin_frac,eject_through_wall_frac,eject_over_rim_frac,eject_spheres_frac,eject_cubes_frac,status
soft-clutter,mujoco,,0.01,0.1,0.005,,64,7.1076,0.0,0.0014986953465268016,0.026843609288334846,0.004238807130604982,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco,,0.005,0.1,0.005,,64,12.3678,0.0,0.0016564842080697417,0.03503245487809181,0.005853700451552868,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco,,0.002,0.1,0.005,,64,33.5155,0.0,0.0017833794699981809,0.03642594814300537,0.007104715332388878,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco,,0.001,0.1,0.005,,64,58.3881,0.0,0.0018316450295969844,0.03708715736865997,0.006457608658820391,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco-adaptive,0.1,,0.1,0.005,4096,64,5.2409,0.0,0.00172418390866369,0.0312875472009182,0.0030158075969666243,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco-adaptive,0.01,,0.1,0.005,4096,64,13.8193,0.0,0.0018009417690336704,0.0352679006755352,0.005838284268975258,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco-adaptive,0.001,,0.1,0.005,4096,64,32.642,0.0,0.00178619590587914,0.036695100367069244,0.005929274950176477,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco-adaptive,0.0001,,0.1,0.005,4096,64,104.4846,0.0,0.0018416127422824502,0.03779417276382446,0.007028822787106037,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf,,0.01,0.1,0.005,,64,38.3835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf,,0.005,0.1,0.005,,64,70.4965,0.0,1.3455428771180777e-08,0.0003444589674472809,0.0,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf,,0.002,0.1,0.005,,64,132.4529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf,,0.001,0.1,0.005,,64,237.0529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf-adaptive,0.1,,0.1,0.005,4096,64,38.2618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf-adaptive,0.01,,0.1,0.005,4096,64,76.4795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf-adaptive,0.001,,0.1,0.005,4096,64,130.7026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf-adaptive,0.0001,,0.1,0.005,4096,64,353.5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
