scene,arm,accuracy,dt_s,dt_outer_s,n_worlds,t_s,wall_ms,iters,exhausted_frac
hard-clutter,icf,,0.01,0.1,1,0.2,55.96679192967713,10,0.0
hard-clutter,icf,,0.01,0.1,1,0.30000000000000004,32.51608810387552,10,0.0
hard-clutter,icf,,0.01,0.1,1,0.4,19.275303930044174,10,0.0
hard-clutter,icf,,0.01,0.1,1,0.5,19.493624102324247,10,0.0
hard-clutter,icf,,0.01,0.1,1,0.6000000000000001,34.98782287351787,10,0.0
hard-clutter,icf,,0.01,0.1,1,0.7000000000000001,31.533763045445085,10,0.0
hard-clutter,icf,,0.01,0.1,1,0.8,22.04038412310183,10,0.0
hard-clutter,icf,,0.01,0.1,1,0.9,12.883021961897612,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.0,17.725250916555524,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.1,19.966879161074758,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.2000000000000002,14.610433019697666,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.3,32.07048401236534,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.4000000000000001,17.58826384320855,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.5,20.00168291851878,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.6,17.954708077013493,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.7000000000000002,18.751351861283183,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.8,14.233723981305957,10,0.0
hard-clutter,icf,,0.01,0.1,1,1.9000000000000001,12.192519148811698,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.0,13.594627846032381,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.1,14.485453953966498,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.2,12.196996016427875,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.3000000000000003,16.24947995878756,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.4000000000000004,11.113496962934732,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.5,16.374649945646524,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.6,18.561034929007292,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.7,25.45456402003765,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.8000000000000003,19.86233191564679,10,0.0
hard-clutter,icf,,0.01,0.1,1,2.9000000000000004,16.9084460940212,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.0,12.122964020818472,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.1,14.311261009424925,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.2,11.903811944648623,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.3000000000000003,16.556224087253213,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.4000000000000004,10.07800200022757,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.5,13.492133002728224,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.6,9.725840063765645,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.7,8.435670053586364,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.8000000000000003,9.895947063341737,10,0.0
hard-clutter,icf,,0.01,0.1,1,3.9000000000000004,7.488328963518143,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.0,9.585817810148,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.1000000000000005,7.490452146157622,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.2,8.935346035286784,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.3,8.020612876862288,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.4,9.921676013618708,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.5,9.539308957755566,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.6000000000000005,9.556924924254417,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.7,10.598429013043642,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.800000000000001,9.961726842448115,10,0.0
hard-clutter,icf,,0.01,0.1,1,4.9,9.328309912234545,10,0.0
hard-clutter,icf,,0.001,0.1,1,0.2,143.54763785377145,100,0.0
hard-clutter,icf,,0.001,0.1,1,0.30000000000000004,149.55517905764282,100,0.0
hard-clutter,icf,,0.001,0.1,1,0.4,143.93858914263546,100,0.0
hard-clutter,icf,,0.001,0.1,1,0.5,124.48859098367393,100,0.0
hard-clutter,icf,,0.001,0.1,1,0.6000000000000001,124.58203197456896,100,0.0
hard-clutter,icf,,0.001,0.1,1,0.7000000000000001,123.37657087482512,100,0.0
hard-clutter,icf,,0.001,0.1,1,0.8,121.75237596966326,100,0.0
hard-clutter,icf,,0.001,0.1,1,0.9,108.30419883131981,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.0,102.29006898589432,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.1,107.91073413565755,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.2000000000000002,97.45354880578816,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.3,100.13488098047674,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.4000000000000001,96.01851901970804,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.5,91.94879815913737,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.6,94.1943519283086,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.7000000000000002,90.64440685324371,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.8,97.04512101598084,100,0.0
hard-clutter,icf,,0.001,0.1,1,1.9000000000000001,92.53561496734619,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.0,108.04407601244748,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.1,114.79124403558671,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.2,105.67340208217502,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.3000000000000003,112.94340086169541,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.4000000000000004,97.0694380812347,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.5,82.24364905618131,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.6,87.21586503088474,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.7,89.45902506820858,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.8000000000000003,88.77331810072064,100,0.0
hard-clutter,icf,,0.001,0.1,1,2.9000000000000004,86.24926302582026,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.0,84.47296894155443,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.1,83.06015306152403,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.2,86.84846898540854,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.3000000000000003,85.52231499925256,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.4000000000000004,84.28416308015585,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.5,88.30412896350026,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.6,85.54172399453819,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.7,83.9728731662035,100,0.0
hard-clutter,icf,,0.001,0.1,1,3.8000000000000003,82.85167813301086,100,0.0
