arm,n_worlds,wall_ms_median,wall_ms_p90
mujoco,64,4.385044449009001,4.832904343493283
mujoco,256,5.157897598110139,5.422101216390729
mujoco,1024,7.1143374079838395,7.548750611022115
mujoco,4096,15.948073123581707,16.402007616125047
mujoco-adaptive,64,24.702984024770558,41.41826897393913
mujoco-adaptive,256,32.5293424539268,51.19055595714602
mujoco-adaptive,1024,50.210093380883336,73.90486013609916
mujoco-adaptive,4096,120.74154242873192,182.83669797237965
icf,64,5.428711068816483,9.003624599426985
icf,256,8.579636574722826,16.548289172351367
icf,1024,19.226861419156194,43.50728814024479
icf,4096,73.8466220209375,163.98304030299187
icf-adaptive,64,81.21181337628514,172.66397660132512
icf-adaptive,256,127.72044609300792,282.9101333161816
icf-adaptive,1024,244.810918928124,525.5316101945937
icf-adaptive,4096,820.0234050163999,1859.7394774435097
