iters_per_boundary,scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,wall_ms_median,wall_ms_p90,exhausted_frac,wall_ms_trial_min,wall_ms_trial_max,trials
10,hard-clutter,mujoco,,0.01,0.1,,64,10.252070962451398,10.695366584695876,0.0,10.1194599410519,10.284669580869377,3
10,hard-clutter,mujoco,,0.01,0.1,,128,10.747879976406693,11.174632492475212,0.0,10.711409500800073,10.76330803334713,3
10,hard-clutter,mujoco,,0.01,0.1,,256,12.076172512024641,12.669671536423266,0.0,11.979560949839652,12.088480987586081,3
10,hard-clutter,mujoco,,0.01,0.1,,512,14.368807431310415,15.068609360605478,0.0,14.262507087551057,14.421076513826847,3
10,hard-clutter,mujoco,,0.01,0.1,,1024,18.42352596577257,19.37819153536111,0.0,18.41191854327917,18.51354748941958,3
10,hard-clutter,mujoco,,0.01,0.1,,2048,30.279650585725904,31.59153836313635,0.0,30.26935551315546,30.31353699043393,3
10,hard-clutter,mujoco,,0.01,0.1,,4096,50.53485545795411,52.96421963721514,0.0,50.23410602007061,50.555492052808404,3
10,hard-clutter,mujoco,,0.01,0.1,,8192,90.75289242900908,95.72700115386397,0.0,90.48155252821743,90.79517144709826,3
65.65,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,64,159.04744493309408,465.77676285523927,0.0,157.49070700258017,180.87586748879403,3
68.3,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,128,208.81479466333985,494.809606880881,0.0,182.92316142469645,208.90568755567074,3
72.35,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,256,255.2188663976267,554.2184345657006,0.0,251.25159556046128,256.4314188202843,3
74.85,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,512,304.8078869469464,640.413209074177,0.0,295.29355152044445,339.58233101293445,3
79.05,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,1024,431.6750430734828,834.5112503506244,0.0,417.5553460372612,441.0659660352394,3
84.9,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,2048,705.4329315433279,1303.7656135624277,0.0,691.8178346240893,705.5524333845824,3
87.0,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,4096,1169.6890050079674,2179.206542321481,0.0,1160.2589763933793,1214.6314984420314,3
92.8,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,8192,2287.9904920700938,3838.357303757221,0.0,2195.06558496505,2313.0376634653658,3
10,hard-clutter,icf,,0.01,0.1,,64,75.9431830374524,133.1769523210824,0.0,73.61735252197832,79.91138740908355,3
10,hard-clutter,icf,,0.01,0.1,,128,112.47580999042839,190.9478261135519,0.0,106.65240639355034,112.93253197800368,3
10,hard-clutter,icf,,0.01,0.1,,256,169.93572446517646,274.50088693294686,0.0,164.8057245183736,171.10493662767112,3
10,hard-clutter,icf,,0.01,0.1,,512,274.8401230201125,451.10385171137773,0.0,268.3033109642565,279.8624790739268,3
10,hard-clutter,icf,,0.01,0.1,,1024,513.1820179522038,854.6699237544093,0.0,506.7012821091339,514.8198190145195,3
10,hard-clutter,icf,,0.01,0.1,,2048,1014.2914354801178,1874.1197149967782,0.0,1007.5685739284381,1024.9844833742827,3
10,hard-clutter,icf,,0.01,0.1,,4096,2013.9621393755078,3819.725252850914,0.0,2005.3259559208527,2019.0390109783038,3
10,hard-clutter,icf,,0.01,0.1,,8192,3960.8722479315475,7637.577121518555,0.0,3940.6938219908625,3984.868672443554,3
51.9,hard-clutter,icf-adaptive,0.001,,0.1,4096,64,344.2342224298045,1838.4586758911614,0.0,310.92367751989514,353.6783515010029,3
57.7,hard-clutter,icf-adaptive,0.001,,0.1,4096,128,413.2370559964329,2522.106255404652,0.0,400.5016345763579,420.1857935404405,3
61.6,hard-clutter,icf-adaptive,0.001,,0.1,4096,256,594.7830440709367,3643.534285016359,0.0,574.1991515969858,627.9277049470693,3
66.55,hard-clutter,icf-adaptive,0.001,,0.1,4096,512,877.8965841047466,5935.676395869815,0.0,861.1505249282345,933.0744250910357,3
66.8,hard-clutter,icf-adaptive,0.001,,0.1,4096,1024,1550.1029189908877,11673.79180551507,0.0,1546.3882609037682,1563.8095969334245,3
67.75,hard-clutter,icf-adaptive,0.001,,0.1,4096,2048,2927.1846226183698,24573.438524710953,0.0,2918.7490264885128,2981.055857380852,3
71.6,hard-clutter,icf-adaptive,0.001,,0.1,4096,4096,5639.851471409202,49768.37909801399,0.0,5616.925886366516,5785.062093520537,3
74.8,hard-clutter,icf-adaptive,0.001,,0.1,4096,8192,11091.280642081983,97722.25221905395,0.0,10924.745528027415,11107.047999976203,3
