iters_per_boundary,scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,wall_ms_median,wall_ms_p90,exhausted_frac,wall_ms_trial_min,wall_ms_trial_max,trials
10,soft-clutter,mujoco,,0.01,0.1,,64,4.628465045243502,7.343761320225895,0.0,4.59646200761199,4.629631992429495,3
10,soft-clutter,mujoco,,0.01,0.1,,128,4.70343348570168,7.435841765254737,0.0,4.6960473991930485,4.708120948635042,3
10,soft-clutter,mujoco,,0.01,0.1,,256,5.041279597207904,7.909652311354876,0.0,5.039526498876512,5.0435420125722885,3
10,soft-clutter,mujoco,,0.01,0.1,,512,5.885314429178834,9.006838244386017,0.0,5.88418310508132,5.887397448532283,3
10,soft-clutter,mujoco,,0.01,0.1,,1024,7.793528027832508,11.735924123786392,0.0,7.792066084221005,7.799898041412234,3
10,soft-clutter,mujoco,,0.01,0.1,,2048,13.673655455932021,21.200374327600002,0.0,13.672493514604867,13.684216071851552,3
10,soft-clutter,mujoco,,0.01,0.1,,4096,24.046297068707645,36.03805077727884,0.0,24.045710917562246,24.057328468188643,3
10,soft-clutter,mujoco,,0.01,0.1,,8192,44.91190111730248,66.32947335019708,0.0,44.90446543786675,44.917084043845534,3
18.95,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,64,26.15335606969893,68.4902792796493,0.0,25.986708467826247,26.305585983209312,3
18.65,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,128,26.779026025906205,69.61450404487555,0.0,26.61387692205608,28.7640115711838,3
19.45,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,256,30.713888118043542,74.93378836661583,0.0,30.642765574157238,30.798405525274575,3
19.55,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,512,35.14279646333307,85.32596030272549,0.0,32.35039149876684,36.429575993679464,3
19.7,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,1024,45.36941193509847,111.04993741028017,0.0,45.093149528838694,45.42649339418858,3
20.05,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,2048,73.45535350032151,202.13091517798614,0.0,73.27135000377893,74.97589103877544,3
20.1,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,4096,121.70804699417204,344.3075556540864,0.0,120.91650150250643,121.94853043183684,3
20.15,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,8192,221.9511230941862,626.718061533757,0.0,220.80128092784435,224.82095542363822,3
10,soft-clutter,icf,,0.01,0.1,,64,33.71113748289645,85.45440135058016,0.0,33.18963397759944,35.535995033569634,3
10,soft-clutter,icf,,0.01,0.1,,128,51.556401420384645,128.26374948490414,0.0,50.33629201352596,52.02065291814506,3
10,soft-clutter,icf,,0.01,0.1,,256,79.83898499514908,201.81055183056745,0.0,79.49284208007157,81.61661645863205,3
10,soft-clutter,icf,,0.01,0.1,,512,143.35199550259858,359.95788967702543,0.0,142.01019296888262,143.46007897984236,3
10,soft-clutter,icf,,0.01,0.1,,1024,292.68966685049236,690.7504281494768,0.0,292.3302745912224,292.7059814101085,3
10,soft-clutter,icf,,0.01,0.1,,2048,588.2305755512789,1467.9898805916312,0.0,586.2050605937839,588.254245580174,3
10,soft-clutter,icf,,0.01,0.1,,4096,1180.3571619093418,2956.6162548493603,0.0,1180.096370051615,1184.512190055102,3
10,soft-clutter,icf,,0.01,0.1,,8192,2327.141051995568,5847.067850548776,0.0,2324.419477954507,2330.993034527637,3
30.15,soft-clutter,icf-adaptive,0.001,,0.1,4096,64,121.07743439264596,479.77487100288283,0.0,115.53500802256167,127.36449541989714,3
33.25,soft-clutter,icf-adaptive,0.001,,0.1,4096,128,183.09663038235158,730.8608788531276,0.0,165.99393403157592,185.49699848517776,3
34.0,soft-clutter,icf-adaptive,0.001,,0.1,4096,256,268.44489807263017,1176.909972750582,0.0,261.8311933474615,273.39704241603613,3
35.5,soft-clutter,icf-adaptive,0.001,,0.1,4096,512,453.7128040101379,2098.089041304775,0.0,450.3323754761368,458.6569635430351,3
36.7,soft-clutter,icf-adaptive,0.001,,0.1,4096,1024,834.7941815154627,4242.859616409988,0.0,823.7366734538227,865.8339504618198,3
37.35,soft-clutter,icf-adaptive,0.001,,0.1,4096,2048,1610.8706196537241,8422.673408873381,0.0,1591.2092485232279,1622.497176984325,3
38.5,soft-clutter,icf-adaptive,0.001,,0.1,4096,4096,3151.330014457926,16766.836028080437,0.0,3142.055322881788,3168.747713905759,3
38.55,soft-clutter,icf-adaptive,0.001,,0.1,4096,8192,6220.06934415549,33089.29441829679,0.0,6166.924238554202,6264.448907924816,3
