arm,knob,wall_ms_per_boundary,err_vs_ref_m
mujoco,1,1.7867,0.009514734148979187
mujoco,2,3.5813,0.0030041933059692383
mujoco,4,7.1361,0.004386335611343384
mujoco,8,14.1976,0.0009620040655136108
mujoco,16,28.3276,0.00016000866889953613
mujoco-adaptive,0.01,0.7672,0.0030041933059692383
mujoco-adaptive,0.001,0.8612,0.0033675730228424072
mujoco-adaptive,0.0001,1.0513,0.00180894136428833
icf,1,1.3147,0.0049829185009002686
icf,2,2.2521,0.002474874258041382
icf,4,3.9962,0.001220017671585083
icf,8,7.2117,0.0005939006805419922
icf,16,13.3075,0.00027692317962646484
icf-adaptive,0.01,3.3662,0.0024728477001190186
icf-adaptive,0.001,3.4606,0.0024728477001190186
icf-adaptive,0.0001,4.9356,0.0017932355403900146
