scene,arm,accuracy,dt_s,n_worlds,horizon_s,wall_s_per_sim_s,status
hard-clutter,mujoco-adaptive,0.1,,1,2.0,0.13250404547881148,ok
hard-clutter,mujoco-adaptive,0.01,,1,2.0,0.3300409707607645,ok
hard-clutter,mujoco-adaptive,0.001,,1,2.0,0.1182832686945495,ok
hard-clutter,mujoco-adaptive,0.0001,,1,2.0,0.2707237211959154,ok
hard-clutter,mujoco-adaptive,1e-05,,1,2.0,1.341306091864791,ok
hard-clutter,mujoco-adaptive,1e-06,,1,2.0,5.40678627527968,ok
hard-clutter,icf-adaptive,0.1,,1,2.0,0.8426930394371727,ok
hard-clutter,icf-adaptive,0.01,,1,2.0,1.325693538864002,ok
hard-clutter,icf-adaptive,0.001,,1,2.0,3.510667363680297,ok
hard-clutter,icf-adaptive,0.0001,,1,2.0,11.062856035829155,ok
hard-clutter,icf-adaptive,1e-05,,1,2.0,39.59282351319086,ok
hard-clutter,icf-adaptive,1e-06,,1,2.0,44.35477774293924,ok
hard-clutter,mujoco,,0.01,1,2.0,0.10427588437015962,ok
hard-clutter,mujoco,,0.005,1,2.0,0.13106373794884843,ok
hard-clutter,mujoco,,0.002,1,2.0,0.15810569301435742,ok
hard-clutter,mujoco,,0.001,1,2.0,0.35649604091157366,ok
hard-clutter,icf,,0.01,1,2.0,0.20198121812721395,ok
hard-clutter,icf,,0.005,1,2.0,0.25685513933010473,ok
hard-clutter,icf,,0.002,1,2.0,0.42610497265640235,ok
hard-clutter,icf,,0.001,1,2.0,0.8093096348786294,ok
