scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,horizon_s,trials,wall_s_per_sim_s,wall_s_per_world_sim_s,iters_per_boundary,exhausted_frac,status
hard-clutter,mujoco-adaptive,0.1,,0.1,65536,1024,2.0,3,0.5131478927149955,0.0005011209889794878,8.055555555555555,0.0,ok
hard-clutter,mujoco-adaptive,0.01,,0.1,65536,1024,2.0,3,1.6132829000707716,0.0015754715821003629,27.833333333333332,0.0,ok
hard-clutter,mujoco-adaptive,0.001,,0.1,65536,1024,2.0,3,5.247636870610424,0.005124645381455492,85.27777777777777,0.0,ok
hard-clutter,mujoco-adaptive,0.0001,,0.1,65536,1024,2.0,3,15.639958956615171,0.015273397418569503,269.5,0.0,ok
hard-clutter,mujoco-adaptive,1e-05,,0.1,65536,1024,2.0,3,37.16488748607743,0.03629383543562249,699.1666666666666,0.0,ok
hard-clutter,mujoco-adaptive,1e-06,,0.1,65536,1024,2.0,3,91.03837870100203,0.0889046667001973,1699.2777777777778,0.0,ok
hard-clutter,icf-adaptive,0.1,,0.1,65536,1024,2.0,3,11.534993877737886,0.011264642458728404,12.222222222222221,0.0,ok
hard-clutter,icf-adaptive,0.01,,0.1,65536,1024,2.0,3,21.91416817277463,0.021400554856225225,29.88888888888889,0.0,ok
hard-clutter,icf-adaptive,0.001,,0.1,65536,1024,2.0,3,45.84964167675935,0.0447750406999603,71.66666666666667,0.0,ok
hard-clutter,icf-adaptive,0.0001,,0.1,65536,1024,2.0,3,129.2380322217165,0.12620901584152003,203.5,0.0,ok
hard-clutter,icf-adaptive,1e-05,,0.1,65536,1024,2.0,3,421.89981014338423,0.41201153334314866,621.1111111111111,0.0,ok
hard-clutter,icf-adaptive,1e-06,,0.1,65536,1024,2.0,3,1132.7048108922058,1.1061570418869198,1849.5555555555557,0.0,ok
hard-clutter,mujoco,,0.01,0.1,,1024,2.0,3,0.18344780947599146,0.0001791482514413979,10,0.0,ok
hard-clutter,mujoco,,0.005,0.1,,1024,2.0,3,0.38701993115763694,0.0003779491515211298,20,0.0,ok
hard-clutter,mujoco,,0.002,0.1,,1024,2.0,3,1.037171248268957,0.0010128625471376533,50,0.0,ok
hard-clutter,mujoco,,0.001,0.1,,1024,2.0,3,2.110118799351363,0.0020606628899915653,100,0.0,ok
hard-clutter,icf,,0.01,0.1,,1024,2.0,3,6.312157256114814,0.006164216070424623,10,0.0,ok
hard-clutter,icf,,0.005,0.1,,1024,2.0,3,10.35226842543731,0.010109637134216124,20,0.0,ok
hard-clutter,icf,,0.002,0.1,,1024,2.0,3,21.304778329407174,0.020805447587311694,50,0.0,ok
hard-clutter,icf,,0.001,0.1,,1024,2.0,3,38.262521498319174,0.03736574365070232,100,0.0,ok
