scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,horizon_s,trials,wall_s_per_sim_s,wall_s_per_world_sim_s,iters_per_boundary,exhausted_frac,status
soft-clutter,mujoco-adaptive,0.1,,0.1,65536,1,2.0,3,0.04467424005270004,0.04467424005270004,2.388888888888889,0.0,ok
soft-clutter,mujoco-adaptive,0.01,,0.1,65536,1,2.0,3,0.12036286617836191,0.12036286617836191,7.333333333333333,0.0,ok
soft-clutter,mujoco-adaptive,0.001,,0.1,65536,1,2.0,3,0.2502839544063641,0.2502839544063641,17.72222222222222,0.0,ok
soft-clutter,mujoco-adaptive,0.0001,,0.1,65536,1,2.0,3,0.6354913494497951,0.6354913494497951,45.111111111111114,0.0,ok
soft-clutter,mujoco-adaptive,1e-05,,0.1,65536,1,2.0,3,1.4642921132811655,1.4642921132811655,130.11111111111111,0.0,ok
soft-clutter,mujoco-adaptive,1e-06,,0.1,65536,1,2.0,3,3.414783011087113,3.414783011087113,380.94444444444446,0.0,ok
soft-clutter,icf-adaptive,0.1,,0.1,65536,1,2.0,3,0.13065429779493973,0.13065429779493973,2.611111111111111,0.0,ok
soft-clutter,icf-adaptive,0.01,,0.1,65536,1,2.0,3,0.20489496385885608,0.20489496385885608,5.666666666666667,0.0,ok
soft-clutter,icf-adaptive,0.001,,0.1,65536,1,2.0,3,0.5709050322831091,0.5709050322831091,20.0,0.0,ok
soft-clutter,icf-adaptive,0.0001,,0.1,65536,1,2.0,3,1.4692959811590198,1.4692959811590198,67.22222222222223,0.0,ok
soft-clutter,icf-adaptive,1e-05,,0.1,65536,1,2.0,3,5.1745569267465426,5.1745569267465426,200.55555555555554,0.0,ok
soft-clutter,icf-adaptive,1e-06,,0.1,65536,1,2.0,3,14.285553806694224,14.285553806694224,587.4444444444445,0.0,ok
soft-clutter,mujoco,,0.01,0.1,,1,2.0,3,0.043536425542293325,0.043536425542293325,10,0.0,ok
soft-clutter,mujoco,,0.005,0.1,,1,2.0,3,0.09584848445633219,0.09584848445633219,20,0.0,ok
soft-clutter,mujoco,,0.002,0.1,,1,2.0,3,0.2138257127565642,0.2138257127565642,50,0.0,ok
soft-clutter,mujoco,,0.001,0.1,,1,2.0,3,0.40924131663309204,0.40924131663309204,100,0.0,ok
soft-clutter,icf,,0.01,0.1,,1,2.0,3,0.11188879557367828,0.11188879557367828,10,0.0,ok
soft-clutter,icf,,0.005,0.1,,1,2.0,3,0.20743007008503708,0.20743007008503708,20,0.0,ok
soft-clutter,icf,,0.002,0.1,,1,2.0,3,0.425757629952083,0.425757629952083,50,0.0,ok
soft-clutter,icf,,0.001,0.1,,1,2.0,3,0.8223889672404362,0.8223889672404362,100,0.0,ok
