scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,horizon_s,trials,wall_s_per_sim_s,wall_s_per_world_sim_s,exhausted_frac,status
soft-clutter,mujoco-adaptive,0.1,,0.1,4096,1024,2.0,1,0.0766602700524446,7.486354497309044e-05,0.0,ok
soft-clutter,mujoco-adaptive,0.01,,0.1,4096,1024,2.0,1,0.27748088106616503,0.0002709774229161768,0.0,ok
soft-clutter,mujoco-adaptive,0.001,,0.1,4096,1024,2.0,1,0.6672530678204364,0.0006516143240433949,0.0,ok
soft-clutter,mujoco-adaptive,0.0001,,0.1,4096,1024,2.0,1,2.396250709425658,0.002340088583423494,0.0,ok
soft-clutter,mujoco-adaptive,1e-05,,0.1,4096,1024,2.0,1,5.3141826494700375,0.0051896314936230835,0.0,ok
soft-clutter,mujoco-adaptive,1e-06,,0.1,4096,1024,2.0,1,11.539103257237002,0.01126865552464551,0.0,ok
soft-clutter,icf-adaptive,0.1,,0.1,4096,1024,2.0,1,3.825895811120669,0.0037362263780475282,0.0,ok
soft-clutter,icf-adaptive,0.01,,0.1,4096,1024,2.0,1,7.7839791311675475,0.007601542120280808,0.0,ok
soft-clutter,icf-adaptive,0.001,,0.1,4096,1024,2.0,1,16.851376560646006,0.016456422422505865,0.0,ok
soft-clutter,icf-adaptive,0.0001,,0.1,4096,1024,2.0,1,39.49892187335839,0.038573165891951554,0.0,ok
soft-clutter,icf-adaptive,1e-05,,0.1,4096,1024,2.0,1,162.00121833166727,0.15820431477701882,0.0,ok
soft-clutter,icf-adaptive,1e-06,,0.1,4096,1024,2.0,1,458.1555584788374,0.44741753757698965,0.0,ok
soft-clutter,mujoco,,0.01,0.1,,1024,2.0,1,0.08349747836796774,8.15405062187185e-05,0.0,ok
soft-clutter,mujoco,,0.005,0.1,,1024,2.0,1,0.16857261329682335,0.00016462169267267906,0.0,ok
soft-clutter,mujoco,,0.002,0.1,,1024,2.0,1,0.41709198280134135,0.0004073163894544349,0.0,ok
soft-clutter,mujoco,,0.001,0.1,,1024,2.0,1,0.8438789433178802,0.0008241005305838673,0.0,ok
soft-clutter,icf,,0.01,0.1,,1024,2.0,1,3.9124287488973803,0.003820731200095098,0.0,ok
soft-clutter,icf,,0.005,0.1,,1024,2.0,1,6.661874018350823,0.006505736346045726,0.0,ok
soft-clutter,icf,,0.002,0.1,,1024,2.0,1,14.272588004435722,0.01393807422308176,0.0,ok
soft-clutter,icf,,0.001,0.1,,1024,2.0,1,25.11308922160727,0.02452450119297585,0.0,ok
